MH,Data
PSO,2.741
PSO,1.378
PSO,1.387
PSO,3.935
PSO,1.386
PSO,1.396
PSO,2.658
PSO,1.385
PSO,1.385
PSO,1.833
PSO,1.917
PSO,3.986
PSO,3.9
PSO,1.383
PSO,1.577
PSO,1.772
PSO,1.505
PSO,3.949
PSO,1.694
PSO,1.382
PSO,1.701
PSO,1.588
PSO,1.41
PSO,1.603
PSO,1.4
PSO,1.386
PSO,1.665
PSO,1.563
PSO,4.017
PSO,3.926
PSO,3.961
PSO,1.444
PSO,1.57
PSO,1.485
PSO,1.389
PSO,1.577
PSO,1.619
PSO,1.494
PSO,1.541
PSO,2.892
PSO,1.552
PSO,1.383
PSO,1.537
PSO,1.439
PSO,1.522
PSO,1.402
PSO,1.549
PSO,1.462
PSO,1.45
PSO,1.546
PSO,1.383
PSO,1.66
PSO,1.824
PSO,3.915
PSO,3.991
PSO,1.422
PSO,1.39
PSO,1.497
PSO,1.514
PSO,1.394
PSO,3.938
PSO,3.917
PSO,1.95
PSO,1.64
PSO,1.809
PSO,1.794
PSO,1.643
PSO,1.839
PSO,1.683
PSO,2.0
PSO,1.643
PSO,1.822
PSO,1.759
PSO,1.793
PSO,1.639
PSO,1.638
PSO,1.731
PSO,2.079
PSO,4.417
PSO,1.77
PSO,4.506
PSO,1.762
PSO,1.795
PSO,1.778
PSO,1.643
PSO,1.949
PSO,1.636
PSO,1.718
PSO,4.485
PSO,1.929
PSO,4.414
PSO,4.444
PSO,4.409
PSO,1.764
PSO,1.794
PSO,1.777
PSO,1.836
PSO,1.699
PSO,1.8
PSO,1.633
PSO,1.848
PSO,1.835
PSO,1.787
PSO,1.775
PSO,1.75
PSO,1.931
PSO,1.649
PSO,1.64
PSO,4.502
PSO,1.849
PSO,1.811
PSO,2.526
PSO,1.759
PSO,1.765
PSO,3.2
PSO,1.849
PSO,4.479
PSO,1.649
PSO,1.633
PSO,4.521
PSO,2.86
PSO,4.458
PSO,3.055
PSO,4.416
PSO,1.139
PSO,1.065
PSO,1.029
PSO,1.095
PSO,1.071
PSO,0.989
PSO,0.979
PSO,1.39
PSO,1.091
PSO,2.641
PSO,1.066
PSO,1.079
PSO,1.933
PSO,0.991
PSO,1.353
PSO,0.987
PSO,0.992
PSO,1.054
PSO,1.058
PSO,1.084
PSO,2.616
PSO,1.077
PSO,2.374
PSO,1.131
PSO,0.99
PSO,1.301
PSO,0.993
PSO,1.025
PSO,2.685
PSO,2.631
PSO,2.654
PSO,0.988
PSO,1.071
PSO,1.047
PSO,1.043
PSO,1.35
PSO,1.09
PSO,1.042
PSO,0.987
PSO,0.982
PSO,1.192
PSO,1.145
PSO,1.045
PSO,2.535
PSO,1.01
PSO,1.054
PSO,1.077
PSO,1.008
PSO,0.985
PSO,2.613
PSO,1.115
PSO,1.163
PSO,2.589
PSO,2.58
PSO,1.13
PSO,1.025
PSO,1.122
PSO,1.068
PSO,2.683
PSO,2.626
PSO,2.645
