MH,Data
PSO,0.557
PSO,1.655
PSO,0.882
PSO,0.806
PSO,0.832
PSO,0.623
PSO,1.559
PSO,1.557
PSO,0.747
PSO,0.579
PSO,0.697
PSO,0.604
PSO,0.707
PSO,1.598
PSO,0.574
PSO,0.682
PSO,0.584
PSO,0.599
PSO,0.703
PSO,0.606
PSO,0.615
PSO,0.618
PSO,0.618
PSO,1.562
PSO,0.66
PSO,1.556
PSO,0.598
PSO,0.596
PSO,0.598
PSO,1.109
PSO,1.597
PSO,0.614
PSO,0.62
PSO,0.616
PSO,0.646
PSO,0.602
PSO,0.598
PSO,0.78
PSO,0.563
PSO,0.924
PSO,0.619
PSO,0.592
PSO,0.595
PSO,0.949
PSO,0.788
PSO,0.6
PSO,0.565
PSO,0.694
PSO,0.676
PSO,1.56
PSO,0.603
PSO,0.594
PSO,0.609
PSO,0.733
PSO,0.561
PSO,0.6
PSO,0.564
PSO,0.589
PSO,1.566
PSO,1.595
PSO,1.56
PSO,1.571
PSO,0.729
PSO,0.697
PSO,0.709
PSO,0.672
PSO,0.663
PSO,0.851
PSO,0.704
PSO,0.665
PSO,0.778
PSO,0.708
PSO,0.702
PSO,0.69
PSO,0.675
PSO,0.762
PSO,1.756
PSO,0.667
PSO,0.706
PSO,0.692
PSO,0.951
PSO,0.732
PSO,0.711
PSO,0.695
PSO,0.72
PSO,1.804
PSO,0.831
PSO,0.668
PSO,0.704
PSO,1.797
PSO,1.277
PSO,1.754
PSO,1.756
PSO,0.703
PSO,0.668
PSO,0.724
PSO,0.7
PSO,0.722
PSO,0.789
PSO,0.705
PSO,0.679
PSO,0.701
PSO,0.68
PSO,0.7
PSO,1.019
PSO,0.714
PSO,1.114
PSO,0.702
PSO,1.775
PSO,0.816
PSO,0.706
PSO,0.693
PSO,0.688
PSO,0.693
PSO,1.799
PSO,0.69
PSO,0.677
PSO,1.802
PSO,0.738
PSO,0.895
PSO,1.141
PSO,1.759
PSO,1.757
PSO,1.777
PSO,0.475
PSO,0.408
PSO,0.428
PSO,0.43
PSO,0.433
PSO,0.412
PSO,0.461
PSO,0.398
PSO,0.42
PSO,0.416
PSO,0.676
PSO,0.429
PSO,0.432
PSO,0.442
PSO,0.406
PSO,0.565
PSO,0.408
PSO,0.415
PSO,0.424
PSO,0.424
PSO,0.431
PSO,0.47
PSO,1.021
PSO,0.573
PSO,1.054
PSO,1.066
PSO,0.42
PSO,0.405
PSO,0.416
PSO,1.02
PSO,0.78
PSO,0.424
PSO,0.426
PSO,0.428
PSO,0.458
PSO,0.402
PSO,0.425
PSO,0.412
PSO,0.442
PSO,0.419
PSO,0.401
PSO,0.427
PSO,0.423
PSO,0.419
PSO,0.417
