MH,Data
PSO,5.069
PSO,4.128
PSO,3.621
PSO,3.481
PSO,3.936
PSO,3.697
PSO,3.474
PSO,8.386
PSO,3.012
PSO,3.092
PSO,3.543
PSO,3.359
PSO,3.033
PSO,2.879
PSO,3.711
PSO,3.372
PSO,2.796
PSO,2.987
PSO,2.925
PSO,2.93
PSO,6.32
PSO,3.428
PSO,2.976
PSO,2.873
PSO,3.602
PSO,3.123
PSO,8.108
PSO,3.118
PSO,2.986
PSO,5.62
PSO,7.891
PSO,2.93
PSO,3.135
PSO,2.822
PSO,2.839
PSO,3.065
PSO,3.103
PSO,3.019
PSO,2.99
PSO,2.942
PSO,2.903
PSO,2.943
PSO,3.336
PSO,2.847
PSO,3.496
PSO,3.038
PSO,2.994
PSO,7.825
PSO,2.923
PSO,2.938
PSO,3.297
PSO,3.191
PSO,2.839
PSO,3.469
PSO,8.087
PSO,3.187
PSO,3.031
PSO,2.943
PSO,2.93
PSO,2.816
PSO,5.957
PSO,7.905
PSO,3.355
PSO,3.347
PSO,3.862
PSO,3.755
PSO,3.477
PSO,3.611
PSO,3.472
PSO,3.373
PSO,3.987
PSO,3.382
PSO,3.811
PSO,3.545
PSO,3.39
PSO,3.32
PSO,3.395
PSO,3.688
PSO,3.786
PSO,9.135
PSO,4.297
PSO,3.338
PSO,3.631
PSO,3.474
PSO,3.371
PSO,3.538
PSO,3.343
PSO,8.891
PSO,3.815
PSO,9.447
PSO,7.561
PSO,4.077
PSO,8.994
PSO,3.367
PSO,3.863
PSO,3.537
PSO,3.392
PSO,3.351
PSO,3.881
PSO,3.697
PSO,3.607
PSO,3.358
PSO,3.959
PSO,3.653
PSO,3.444
PSO,3.556
PSO,3.486
PSO,9.168
PSO,3.768
PSO,3.634
PSO,3.737
PSO,3.451
PSO,8.845
PSO,8.926
PSO,3.753
PSO,3.524
PSO,3.483
PSO,3.88
PSO,3.367
PSO,9.449
PSO,3.7
PSO,6.067
PSO,9.031
PSO,9.165
PSO,2.223
PSO,2.497
PSO,2.27
PSO,2.04
PSO,2.336
PSO,2.009
PSO,1.993
PSO,2.376
PSO,2.088
PSO,3.959
PSO,2.103
PSO,2.016
PSO,2.226
PSO,2.374
PSO,1.986
PSO,5.283
PSO,2.502
PSO,2.197
PSO,2.095
PSO,5.247
PSO,2.291
PSO,2.665
PSO,5.489
PSO,2.662
PSO,2.379
PSO,2.006
PSO,5.411
PSO,2.455
PSO,2.442
PSO,2.065
PSO,5.249
PSO,2.167
PSO,2.226
