MH,Data
PSO,16.615
PSO,16.668
PSO,16.661
PSO,16.721
PSO,16.63
PSO,16.886
PSO,17.247
PSO,17.509
PSO,26.938
PSO,27.27
PSO,27.917
PSO,16.727
PSO,17.081
PSO,16.834
PSO,17.458
PSO,20.391
PSO,22.78
PSO,23.548
PSO,16.727
PSO,17.097
PSO,44.512
PSO,44.667
PSO,44.461
PSO,44.9
PSO,45.467
PSO,16.857
PSO,16.839
PSO,17.1
PSO,18.38
PSO,44.84
PSO,35.952
PSO,17.573
PSO,21.278
PSO,19.456
PSO,16.72
PSO,17.892
PSO,17.002
PSO,16.794
PSO,17.857
PSO,17.461
PSO,17.566
PSO,16.712
PSO,18.512
PSO,17.627
PSO,19.561
PSO,16.775
PSO,17.568
PSO,44.463
PSO,20.94
PSO,44.448
PSO,44.702
PSO,45.013
PSO,46.006
PSO,17.883
PSO,17.457
PSO,17.379
PSO,17.924
PSO,44.175
PSO,18.849
PSO,17.256
PSO,17.888
PSO,44.773
PSO,22.228
PSO,21.434
PSO,19.933
PSO,20.268
PSO,23.775
PSO,20.579
PSO,19.236
PSO,20.309
PSO,27.71
PSO,21.448
PSO,20.701
PSO,36.503
PSO,21.118
PSO,20.481
PSO,21.373
PSO,49.291
PSO,49.338
PSO,19.749
PSO,19.172
PSO,49.859
PSO,49.955
PSO,20.309
PSO,51.204
PSO,22.963
PSO,21.805
PSO,20.927
PSO,49.539
PSO,21.247
PSO,21.022
PSO,20.337
PSO,41.327
PSO,19.392
PSO,19.258
PSO,23.613
PSO,20.885
PSO,20.722
PSO,19.138
PSO,19.619
PSO,19.328
PSO,19.105
PSO,21.62
PSO,24.642
PSO,49.529
PSO,49.596
PSO,20.801
PSO,49.609
PSO,50.127
PSO,19.181
PSO,26.21
PSO,51.253
PSO,24.414
PSO,20.648
PSO,19.106
PSO,20.718
PSO,19.589
PSO,20.54
PSO,49.644
PSO,20.157
PSO,50.618
PSO,49.466
PSO,49.644
PSO,49.643
PSO,12.978
PSO,14.89
PSO,12.918
PSO,13.032
PSO,13.335
PSO,13.749
PSO,12.484
PSO,14.421
PSO,14.099
PSO,13.742
PSO,12.988
PSO,31.36
PSO,12.672
PSO,12.961
PSO,13.595
PSO,12.979
PSO,31.631
PSO,13.687
PSO,14.174
PSO,13.905
PSO,13.285
PSO,12.773
PSO,12.826
PSO,13.34
PSO,31.143
PSO,13.259
PSO,13.445
PSO,13.966
PSO,20.266
PSO,31.352
PSO,31.531
PSO,14.112
PSO,13.546
PSO,13.008
PSO,12.819
PSO,14.085
PSO,13.132
PSO,13.739
PSO,14.101
PSO,13.506
PSO,12.569
PSO,13.039
PSO,12.911
PSO,13.608
PSO,13.474
PSO,27.346
PSO,13.748
PSO,14.007
PSO,31.394
PSO,30.837
PSO,13.725
PSO,31.09
PSO,30.974
PSO,13.157
PSO,12.517
PSO,13.694
PSO,13.51
PSO,13.088
PSO,13.055
PSO,31.549
PSO,27.359
