MH,Data
PSO,5.436
PSO,7.891
PSO,4.385
PSO,3.405
PSO,3.616
PSO,4.248
PSO,8.03
PSO,3.081
PSO,3.892
PSO,7.386
PSO,3.423
PSO,3.261
PSO,3.23
PSO,3.122
PSO,3.584
PSO,3.564
PSO,3.193
PSO,3.531
PSO,2.995
PSO,3.055
PSO,8.048
PSO,3.21
PSO,3.359
PSO,3.093
PSO,8.494
PSO,3.212
PSO,3.044
PSO,2.822
PSO,2.895
PSO,2.823
PSO,3.078
PSO,3.331
PSO,2.879
PSO,3.249
PSO,3.082
PSO,2.9
PSO,2.874
PSO,2.846
PSO,3.03
PSO,3.248
PSO,5.662
PSO,3.217
PSO,3.105
PSO,3.136
PSO,7.87
PSO,2.963
PSO,2.848
PSO,2.975
PSO,3.143
PSO,3.153
PSO,3.083
PSO,3.137
PSO,3.153
PSO,3.023
PSO,2.918
PSO,2.966
PSO,3.075
PSO,6.472
PSO,3.153
PSO,3.101
PSO,3.137
PSO,7.902
PSO,3.677
PSO,3.536
PSO,3.622
PSO,3.507
PSO,3.518
PSO,3.547
PSO,3.65
PSO,5.571
PSO,3.978
PSO,3.574
PSO,5.544
PSO,3.576
PSO,3.541
PSO,3.509
PSO,3.512
PSO,3.922
PSO,3.521
PSO,3.583
PSO,3.722
PSO,3.581
PSO,3.911
PSO,3.506
PSO,4.348
PSO,3.497
PSO,8.869
PSO,3.774
PSO,8.879
PSO,8.902
PSO,8.888
PSO,9.13
PSO,9.031
PSO,3.557
PSO,3.702
PSO,3.908
PSO,3.474
PSO,3.395
PSO,3.34
PSO,3.525
PSO,3.728
PSO,3.914
PSO,3.682
PSO,3.819
PSO,3.391
PSO,3.617
PSO,3.4
PSO,3.43
PSO,3.647
PSO,3.819
PSO,9.029
PSO,3.757
PSO,3.741
PSO,8.938
PSO,3.627
PSO,3.399
PSO,8.87
PSO,3.502
PSO,3.56
PSO,8.883
PSO,4.387
PSO,8.873
PSO,5.381
PSO,9.113
PSO,2.009
PSO,2.444
PSO,1.969
PSO,2.026
PSO,2.336
PSO,2.192
PSO,2.169
PSO,2.058
PSO,1.993
PSO,2.538
PSO,2.81
PSO,2.093
PSO,5.291
PSO,2.274
PSO,2.578
PSO,2.019
PSO,2.047
PSO,1.974
PSO,2.303
PSO,5.195
PSO,2.198
PSO,2.131
PSO,5.189
PSO,3.428
PSO,2.303
PSO,5.182
PSO,2.073
PSO,5.247
PSO,5.277
PSO,5.404
PSO,5.393
PSO,2.01
PSO,1.972
PSO,2.205
PSO,2.241
PSO,2.149
PSO,2.117
PSO,2.096
PSO,2.189
PSO,2.391
PSO,2.007
PSO,1.998
PSO,2.247
PSO,2.211
PSO,2.124
PSO,2.128
PSO,2.176
PSO,5.191
PSO,2.297
PSO,2.001
PSO,1.978
PSO,5.202
PSO,2.327
PSO,2.207
PSO,5.221
PSO,2.282
PSO,2.152
PSO,2.239
PSO,2.393
PSO,5.234
PSO,5.292
PSO,5.394
PSO,2.637
PSO,2.47
PSO,2.52
PSO,2.72
PSO,3.863
PSO,2.722
PSO,2.535
PSO,2.699
PSO,2.53
PSO,2.462
PSO,2.628
PSO,2.506
PSO,3.967
PSO,2.601
PSO,6.213
PSO,2.589
PSO,2.63
PSO,6.148
PSO,5.161
PSO,6.158
PSO,2.995
PSO,2.641
PSO,2.489
PSO,2.506
PSO,2.789
PSO,2.723
PSO,6.285
PSO,6.352
PSO,6.396
PSO,5.785
PSO,6.176
PSO,2.609
PSO,2.689
PSO,2.891
PSO,2.475
PSO,3.093
PSO,2.534
PSO,2.695
PSO,2.472
PSO,2.643
PSO,2.677
PSO,2.814
PSO,2.982
PSO,2.508
PSO,6.151
PSO,2.513
PSO,2.554
PSO,2.502
PSO,6.15
PSO,2.941
PSO,2.744
PSO,2.505
PSO,2.941
PSO,3.563
PSO,2.693
PSO,2.5
PSO,3.587
PSO,6.292
PSO,6.32
PSO,6.381
PSO,6.178
PSO,6.133
PSO,1.692
PSO,1.727
PSO,2.022
PSO,1.601
PSO,1.681
PSO,1.567
PSO,1.633
PSO,1.815
PSO,1.683
PSO,1.58
PSO,1.746
PSO,4.092
PSO,1.901
PSO,1.606
PSO,1.575
PSO,1.582
PSO,3.874
PSO,1.744
PSO,1.73
PSO,1.579
PSO,1.734
PSO,1.842
PSO,1.724
PSO,1.612
PSO,1.618
PSO,1.632
PSO,4.139
PSO,4.215
PSO,4.087
PSO,3.53
PSO,4.26
PSO,1.74
PSO,1.731
PSO,1.584
PSO,1.805
PSO,1.777
PSO,1.66
PSO,1.627
PSO,1.629
PSO,1.706
PSO,1.748
PSO,1.585
PSO,1.783
PSO,1.565
PSO,4.097
PSO,1.64
PSO,1.623
PSO,1.677
PSO,4.093
PSO,1.596
PSO,3.037
PSO,1.693
PSO,1.587
PSO,1.984
PSO,3.073
PSO,1.563
PSO,1.844
PSO,4.172
PSO,2.34
PSO,4.108
PSO,4.255
