MH,Data
PSO,2.907
PSO,2.906
PSO,2.924
PSO,8.43
PSO,4.885
PSO,2.906
PSO,2.94
PSO,2.861
PSO,3.545
PSO,3.013
PSO,3.91
PSO,2.906
PSO,3.006
PSO,2.894
PSO,3.305
PSO,3.564
PSO,8.474
PSO,3.272
PSO,2.953
PSO,3.196
PSO,2.897
PSO,3.47
PSO,3.391
PSO,3.05
PSO,3.139
PSO,2.889
PSO,3.372
PSO,3.06
PSO,2.878
PSO,7.224
PSO,8.149
PSO,3.164
PSO,2.813
PSO,3.101
PSO,3.265
PSO,2.914
PSO,3.195
PSO,2.944
PSO,3.004
PSO,2.818
PSO,3.751
PSO,3.563
PSO,2.872
PSO,3.34
PSO,3.017
PSO,2.996
PSO,3.49
PSO,5.045
PSO,3.028
PSO,3.09
PSO,2.901
PSO,3.145
PSO,3.0
PSO,3.303
PSO,8.09
PSO,3.048
PSO,6.047
PSO,3.021
PSO,3.068
PSO,2.979
PSO,8.157
PSO,8.193
PSO,3.857
PSO,3.545
PSO,3.47
PSO,3.552
PSO,3.638
PSO,3.564
PSO,3.552
PSO,3.791
PSO,4.062
PSO,3.634
PSO,5.453
PSO,3.784
PSO,3.604
PSO,3.304
PSO,3.54
PSO,3.348
PSO,4.993
PSO,4.854
PSO,3.762
PSO,9.088
PSO,6.664
PSO,9.051
PSO,3.393
PSO,3.331
PSO,4.378
PSO,3.865
PSO,9.235
PSO,4.28
PSO,3.327
PSO,9.179
PSO,5.967
PSO,4.249
PSO,3.839
PSO,3.341
PSO,4.158
PSO,3.318
PSO,3.482
PSO,3.507
PSO,3.487
PSO,4.087
PSO,3.98
PSO,3.617
PSO,3.528
PSO,3.752
PSO,3.518
PSO,3.331
PSO,3.677
PSO,3.887
PSO,9.121
PSO,9.061
PSO,3.651
PSO,9.516
PSO,9.201
PSO,3.787
PSO,3.548
PSO,3.343
PSO,3.506
PSO,3.609
PSO,3.309
PSO,9.222
PSO,8.42
PSO,9.188
PSO,2.477
PSO,2.385
PSO,2.728
PSO,2.073
PSO,2.127
PSO,2.107
PSO,2.073
PSO,2.003
PSO,2.012
PSO,2.539
PSO,2.595
PSO,5.449
PSO,2.221
PSO,2.199
PSO,5.386
PSO,2.115
PSO,2.064
PSO,5.521
PSO,2.153
PSO,2.009
PSO,2.206
PSO,5.458
PSO,2.377
PSO,2.237
PSO,2.231
PSO,2.138
PSO,5.496
PSO,4.971
PSO,5.46
PSO,5.468
PSO,5.399
PSO,2.087
PSO,2.131
PSO,2.184
PSO,2.042
PSO,2.299
PSO,2.207
PSO,2.346
PSO,2.16
PSO,2.136
PSO,2.135
PSO,2.155
PSO,2.217
PSO,2.092
PSO,2.24
PSO,2.274
PSO,3.202
PSO,5.523
PSO,2.249
PSO,2.147
PSO,2.117
PSO,5.467
PSO,2.211
PSO,2.128
PSO,2.184
PSO,2.278
PSO,2.187
PSO,5.509
PSO,5.479
PSO,5.32
PSO,5.491
PSO,5.409
PSO,2.565
PSO,2.656
PSO,2.637
PSO,2.721
PSO,2.626
PSO,2.843
PSO,2.647
PSO,2.702
