MH,Data
PSO,2.959
PSO,1.685
PSO,1.848
PSO,1.606
PSO,2.044
PSO,1.59
PSO,1.524
PSO,1.723
PSO,1.695
PSO,1.484
PSO,1.543
PSO,1.409
PSO,1.642
PSO,1.709
PSO,1.548
PSO,1.535
PSO,1.553
PSO,2.33
PSO,1.631
PSO,1.405
PSO,3.933
PSO,2.053
PSO,1.598
PSO,1.542
PSO,1.536
PSO,1.735
PSO,1.404
PSO,1.426
PSO,3.963
PSO,3.966
PSO,3.943
PSO,1.478
PSO,1.568
PSO,1.535
PSO,1.736
PSO,1.535
PSO,1.395
PSO,1.425
PSO,1.407
PSO,1.534
PSO,1.548
PSO,1.668
PSO,1.607
PSO,1.391
PSO,1.46
PSO,1.409
PSO,1.502
PSO,1.541
PSO,1.622
PSO,1.63
PSO,1.395
PSO,1.511
PSO,1.423
PSO,3.996
PSO,1.471
PSO,1.493
PSO,1.388
PSO,1.592
PSO,2.625
PSO,1.632
PSO,3.969
PSO,3.948
PSO,1.751
PSO,1.691
PSO,1.73
PSO,1.673
PSO,1.768
PSO,1.712
PSO,2.384
PSO,2.541
PSO,1.869
PSO,1.952
PSO,1.634
PSO,1.805
PSO,1.693
PSO,1.727
PSO,2.455
PSO,1.786
PSO,1.839
PSO,1.823
PSO,4.511
PSO,2.167
PSO,1.663
PSO,1.946
PSO,1.737
PSO,1.948
PSO,1.885
PSO,1.703
PSO,1.836
PSO,4.075
PSO,4.479
PSO,4.387
PSO,4.479
PSO,1.817
PSO,1.649
PSO,1.69
PSO,1.814
PSO,1.873
PSO,1.684
PSO,1.769
PSO,1.792
PSO,1.825
PSO,1.712
PSO,1.672
PSO,1.775
PSO,1.853
PSO,1.765
PSO,1.734
PSO,4.486
PSO,1.784
PSO,1.816
PSO,1.687
PSO,1.759
PSO,1.738
PSO,1.817
PSO,1.802
PSO,4.448
PSO,4.443
PSO,1.764
PSO,1.92
PSO,2.324
PSO,4.469
PSO,4.457
PSO,4.397
PSO,0.965
PSO,1.073
PSO,1.061
PSO,1.135
PSO,1.422
PSO,0.967
PSO,1.088
PSO,1.386
PSO,1.071
PSO,2.56
PSO,0.97
PSO,1.068
PSO,1.102
PSO,1.053
PSO,0.964
PSO,1.315
PSO,1.207
PSO,1.081
PSO,1.006
PSO,1.2
PSO,1.054
PSO,1.081
PSO,0.965
PSO,2.587
PSO,1.109
PSO,0.999
PSO,2.596
PSO,2.586
PSO,2.552
PSO,2.623
PSO,2.632
PSO,1.129
PSO,1.035
PSO,0.991
PSO,1.026
PSO,1.074
PSO,0.969
PSO,1.101
PSO,1.035
PSO,1.086
PSO,1.071
PSO,1.008
PSO,1.01
PSO,1.056
PSO,2.556
PSO,1.089
PSO,0.97
PSO,1.063
PSO,1.065
PSO,1.073
PSO,1.032
PSO,1.016
PSO,2.583
PSO,1.036
PSO,1.075
PSO,2.591
PSO,1.071
PSO,1.694
PSO,2.589
PSO,2.56
PSO,2.637
PSO,2.549
PSO,1.212
PSO,1.304
PSO,1.311
PSO,1.292
PSO,1.316
PSO,1.362
PSO,1.319
PSO,1.215
PSO,1.421
PSO,1.804
PSO,1.358
PSO,1.311
PSO,1.309
PSO,1.295
PSO,1.231
PSO,1.379
PSO,1.212
PSO,1.247
PSO,1.228
PSO,3.086
PSO,1.331
PSO,3.073
PSO,2.419
PSO,1.403
PSO,1.299
PSO,1.233
PSO,3.105
PSO,3.043
PSO,3.127
PSO,3.014
PSO,3.121
PSO,1.215
PSO,1.306
PSO,1.241
PSO,1.289
PSO,1.272
PSO,1.323
PSO,1.339
PSO,1.234
PSO,1.551
PSO,1.219
PSO,1.268
PSO,1.276
PSO,1.278
PSO,1.23
PSO,1.416
PSO,3.08
PSO,1.235
PSO,1.464
PSO,3.078
PSO,1.385
PSO,1.215
PSO,1.268
PSO,1.273
PSO,3.095
PSO,1.364
PSO,1.228
PSO,3.038
PSO,1.45
PSO,3.018
PSO,3.118
PSO,2.764
PSO,0.796
PSO,0.99
PSO,0.784
PSO,0.887
PSO,0.835
PSO,0.9
PSO,0.824
PSO,0.797
PSO,0.898
PSO,0.847
PSO,0.785
PSO,0.859
PSO,2.107
PSO,0.851
PSO,2.099
PSO,0.876
PSO,0.855
PSO,0.796
PSO,0.867
PSO,2.096
PSO,0.784
PSO,0.856
PSO,0.852
PSO,0.796
PSO,2.06
PSO,0.853
PSO,1.239
PSO,2.048
PSO,2.123
PSO,2.089
PSO,2.099
PSO,0.889
PSO,0.798
PSO,0.947
PSO,1.18
PSO,0.787
PSO,0.814
PSO,0.819
PSO,0.835
PSO,0.867
PSO,0.798
PSO,0.985
PSO,1.177
PSO,0.846
PSO,0.788
PSO,0.841
PSO,0.828
PSO,0.865
PSO,1.175
PSO,0.94
PSO,0.798
PSO,2.105
PSO,2.063
PSO,0.864
PSO,0.994
PSO,0.788
PSO,0.902
PSO,2.066
PSO,2.14
PSO,2.095
PSO,2.104
PSO,2.161
PSO,1.092
PSO,1.094
PSO,1.084
PSO,1.044
PSO,1.161
PSO,1.065
PSO,1.032
PSO,1.097
PSO,1.254
PSO,1.095
PSO,1.085
PSO,1.047
PSO,1.128
PSO,1.115
PSO,1.031
PSO,1.085
PSO,1.19
PSO,2.613
PSO,2.547
PSO,1.162
PSO,1.087
PSO,1.243
PSO,1.104
PSO,1.122
PSO,2.524
PSO,1.096
PSO,1.031
PSO,2.608
PSO,2.593
PSO,2.577
PSO,2.611
PSO,1.148
PSO,1.179
PSO,1.114
PSO,1.073
PSO,1.081
PSO,1.126
PSO,1.11
PSO,1.032
PSO,1.13
PSO,1.17
PSO,1.137
PSO,1.092
PSO,1.073
PSO,2.599
PSO,1.111
PSO,2.54
PSO,1.116
PSO,1.125
PSO,1.033
PSO,1.928
PSO,1.053
PSO,1.15
PSO,2.528
PSO,1.113
PSO,1.603
PSO,1.108
PSO,1.301
PSO,1.465
PSO,2.593
PSO,2.586
PSO,2.62
PSO,1.404
PSO,1.394
PSO,1.524
PSO,1.723
PSO,1.44
PSO,1.737
PSO,1.532
PSO,1.446
PSO,1.404
PSO,1.384
PSO,1.792
PSO,2.024
PSO,1.547
PSO,1.468
PSO,1.423
PSO,1.515
PSO,3.983
PSO,2.219
PSO,1.405
PSO,1.68
PSO,1.399
PSO,3.969
PSO,3.903
PSO,1.722
PSO,1.498
PSO,1.442
PSO,3.896
PSO,1.481
PSO,3.936
PSO,2.842
PSO,3.959
PSO,1.129
PSO,1.215
PSO,1.067
PSO,1.059
PSO,1.41
PSO,1.246
PSO,1.078
PSO,1.096
PSO,1.138
PSO,1.066
PSO,1.055
PSO,1.328
PSO,1.168
PSO,3.076
PSO,1.212
PSO,1.083
PSO,1.148
PSO,1.126
PSO,2.962
PSO,3.042
PSO,1.065
PSO,1.271
PSO,1.056
PSO,1.222
PSO,1.197
PSO,3.011
PSO,1.145
PSO,3.033
PSO,2.996
PSO,3.017
PSO,3.062
PSO,1.515
PSO,1.617
PSO,1.645
PSO,1.522
PSO,1.5
PSO,1.682
PSO,1.644
PSO,1.607
PSO,1.818
PSO,1.586
PSO,1.563
PSO,1.509
PSO,1.497
PSO,1.747
PSO,1.658
PSO,2.627
PSO,1.625
PSO,4.13
PSO,4.199
PSO,1.673
PSO,2.09
PSO,1.622
PSO,1.508
PSO,1.498
PSO,1.771
PSO,4.15
PSO,1.755
PSO,4.145
PSO,2.437
PSO,4.194
PSO,4.207
PSO,1.654
PSO,1.921
PSO,1.587
PSO,1.537
PSO,1.525
PSO,1.742
PSO,1.521
PSO,2.312
PSO,1.743
PSO,2.599
PSO,1.833
PSO,1.725
PSO,1.524
PSO,1.577
PSO,1.52
PSO,2.011
PSO,1.789
PSO,4.217
PSO,1.721
PSO,1.759
PSO,2.037
PSO,4.265
PSO,1.532
PSO,1.63
PSO,4.276
PSO,1.643
PSO,1.522
PSO,2.804
PSO,4.299
PSO,4.314
PSO,4.332
PSO,1.022
PSO,1.197
PSO,0.994
PSO,1.259
PSO,1.131
PSO,0.974
PSO,0.975
PSO,1.035
PSO,1.03
PSO,0.972
PSO,1.139
PSO,1.202
PSO,2.522
PSO,1.161
PSO,1.391
PSO,1.04
PSO,0.979
PSO,1.028
PSO,0.995
PSO,2.545
PSO,1.087
PSO,1.012
PSO,2.508
PSO,1.174
PSO,1.049
PSO,1.0
PSO,1.021
PSO,2.538
PSO,2.532
PSO,2.572
PSO,2.527
PSO,0.661
PSO,0.693
PSO,0.736
PSO,0.715
PSO,0.796
PSO,0.717
PSO,0.68
PSO,0.678
PSO,0.684
PSO,0.663
PSO,0.692
PSO,0.661
PSO,1.703
PSO,0.765
PSO,0.747
PSO,1.749
PSO,0.694
PSO,0.68
PSO,0.682
PSO,0.671
PSO,1.725
PSO,0.683
PSO,0.674
PSO,0.726
PSO,0.754
PSO,0.714
PSO,1.743
PSO,1.716
PSO,1.741
PSO,1.729
PSO,1.752
PSO,1.118
PSO,1.111
PSO,1.11
PSO,1.111
PSO,1.094
PSO,1.138
PSO,1.178
PSO,1.16
PSO,1.394
PSO,1.107
PSO,1.107
PSO,1.102
PSO,1.11
PSO,1.121
PSO,1.161
PSO,1.162
PSO,2.783
PSO,1.294
PSO,2.76
PSO,1.218
PSO,1.108
PSO,1.107
PSO,1.108
PSO,1.12
PSO,1.148
PSO,2.278
PSO,2.778
PSO,1.169
PSO,2.793
PSO,2.834
PSO,2.815
PSO,1.275
PSO,1.28
