MH,Data
PSO,0.392
PSO,0.421
PSO,0.3
PSO,0.387
PSO,0.795
PSO,0.329
PSO,0.293
PSO,0.356
PSO,0.808
PSO,0.346
PSO,0.305
PSO,0.33
PSO,0.316
PSO,0.303
PSO,0.318
PSO,0.322
PSO,0.796
PSO,0.444
PSO,0.319
PSO,0.312
PSO,0.294
PSO,0.396
PSO,0.354
PSO,0.811
PSO,0.313
PSO,0.287
PSO,0.709
PSO,0.34
PSO,0.307
PSO,0.433
PSO,0.796
PSO,0.311
PSO,0.329
PSO,0.393
PSO,0.286
PSO,0.3
PSO,0.301
PSO,0.308
PSO,0.3
PSO,0.432
PSO,0.481
PSO,0.319
PSO,0.307
PSO,0.332
PSO,0.303
PSO,0.379
PSO,0.303
PSO,0.307
PSO,0.313
PSO,0.292
PSO,0.814
PSO,0.342
PSO,0.407
PSO,0.324
PSO,0.313
PSO,0.3
PSO,0.308
PSO,0.32
PSO,0.799
PSO,0.308
PSO,0.793
PSO,0.799
PSO,0.364
PSO,0.377
PSO,0.335
PSO,0.363
PSO,0.354
PSO,0.582
PSO,0.359
PSO,0.346
PSO,0.401
PSO,0.464
PSO,0.373
PSO,0.496
PSO,0.351
PSO,0.437
PSO,0.358
PSO,0.914
PSO,0.35
PSO,0.476
PSO,0.39
PSO,0.436
PSO,0.342
PSO,0.349
PSO,0.362
PSO,0.376
PSO,0.36
PSO,0.365
PSO,0.892
PSO,0.908
PSO,0.624
PSO,0.913
PSO,0.913
PSO,0.345
PSO,0.339
PSO,0.375
PSO,0.345
PSO,0.358
PSO,0.37
PSO,0.366
PSO,0.363
PSO,0.349
PSO,0.358
PSO,0.373
PSO,0.353
PSO,0.414
PSO,0.365
PSO,0.366
PSO,0.364
PSO,0.358
PSO,0.357
PSO,0.358
PSO,0.362
PSO,0.343
PSO,0.348
PSO,0.367
PSO,0.893
PSO,0.366
PSO,0.792
PSO,0.905
PSO,0.945
PSO,0.924
PSO,0.961
PSO,0.975
PSO,0.227
PSO,0.223
PSO,0.218
PSO,0.226
PSO,0.207
PSO,0.216
PSO,0.209
PSO,0.209
PSO,0.212
PSO,0.216
PSO,0.228
PSO,0.228
PSO,0.22
PSO,0.231
PSO,0.244
PSO,0.248
PSO,0.387
PSO,0.257
PSO,0.268
PSO,0.284
PSO,0.267
PSO,0.272
PSO,0.592
PSO,0.276
PSO,0.276
PSO,0.268
PSO,0.264
PSO,0.544
PSO,0.625
PSO,0.661
PSO,0.635
PSO,0.276
PSO,0.318
PSO,0.279
PSO,0.272
PSO,0.273
PSO,0.277
PSO,0.273
PSO,0.271
PSO,0.289
PSO,0.27
PSO,0.29
PSO,0.285
PSO,0.653
PSO,0.278
PSO,0.278
PSO,0.264
PSO,0.503
PSO,0.612
PSO,0.268
PSO,0.621
PSO,0.261
PSO,0.248
PSO,0.247
PSO,0.366
PSO,0.22
PSO,0.203
PSO,0.598
PSO,0.21
PSO,0.534
PSO,0.526
PSO,0.537
PSO,0.257
PSO,0.265
PSO,0.257
PSO,0.266
PSO,0.257
PSO,0.285
PSO,0.255
PSO,0.378
PSO,0.263
PSO,0.26
PSO,0.266
PSO,0.401
PSO,0.263
PSO,0.257
PSO,0.636
PSO,0.615
PSO,0.262
PSO,0.254
PSO,0.3
PSO,0.261
PSO,0.318
PSO,0.264
PSO,0.263
PSO,0.633
PSO,0.626
PSO,0.276
PSO,0.291
PSO,0.366
PSO,0.643
PSO,0.637
PSO,0.637
PSO,0.255
PSO,0.286
PSO,0.277
PSO,0.258
PSO,0.253
PSO,0.291
PSO,0.284
PSO,0.352
PSO,0.287
PSO,0.255
PSO,0.277
PSO,0.615
PSO,0.254
PSO,0.442
PSO,0.321
PSO,0.276
PSO,0.287
PSO,0.285
PSO,0.633
PSO,0.384
PSO,0.281
PSO,0.255
PSO,0.33
PSO,0.268
PSO,0.292
PSO,0.639
PSO,0.344
PSO,0.359
PSO,0.637
PSO,0.616
PSO,0.64
PSO,0.201
PSO,0.186
PSO,0.172
PSO,0.168
PSO,0.174
PSO,0.169
PSO,0.372
PSO,0.198
PSO,0.182
PSO,0.176
PSO,0.188
PSO,0.178
PSO,0.169
PSO,0.177
PSO,0.169
PSO,0.178
PSO,0.441
PSO,0.183
PSO,0.259
PSO,0.176
PSO,0.184
PSO,0.188
PSO,0.174
PSO,0.17
PSO,0.17
PSO,0.402
PSO,0.186
PSO,0.289
PSO,0.443
PSO,0.444
PSO,0.443
PSO,0.17
PSO,0.169
PSO,0.181
PSO,0.185
PSO,0.17
PSO,0.17
PSO,0.184
PSO,0.239
PSO,0.182
PSO,0.169
PSO,0.177
PSO,0.184
PSO,0.218
PSO,0.439
PSO,0.177
PSO,0.179
PSO,0.173
PSO,0.448
PSO,0.181
PSO,0.174
PSO,0.174
PSO,0.246
PSO,0.181
PSO,0.438
PSO,0.178
PSO,0.242
PSO,0.443
PSO,0.444
PSO,0.3
PSO,0.443
PSO,0.44
PSO,0.224
PSO,0.227
PSO,0.224
PSO,0.218
PSO,0.236
PSO,0.221
PSO,0.26
PSO,0.223
PSO,0.244
PSO,0.32
PSO,0.378
PSO,0.256
PSO,0.228
PSO,0.226
PSO,0.245
PSO,0.269
PSO,0.244
PSO,0.289
PSO,0.258
PSO,0.233
PSO,0.221
PSO,0.25
PSO,0.246
PSO,0.315
PSO,0.544
PSO,0.24
PSO,0.519
PSO,0.352
PSO,0.541
PSO,0.526
PSO,0.53
PSO,0.221
PSO,0.225
PSO,0.237
PSO,0.238
PSO,0.218
PSO,0.22
PSO,0.236
PSO,0.218
PSO,0.225
PSO,0.244
PSO,0.221
PSO,0.238
PSO,0.522
PSO,0.218
PSO,0.251
PSO,0.224
PSO,0.237
PSO,0.547
PSO,0.23
PSO,0.219
PSO,0.222
PSO,0.226
PSO,0.547
PSO,0.246
PSO,0.218
PSO,0.241
PSO,0.531
PSO,0.532
PSO,0.532
PSO,0.541
PSO,0.542
PSO,0.304
PSO,0.307
PSO,0.304
PSO,0.293
PSO,0.315
PSO,0.315
PSO,0.296
PSO,0.317
PSO,0.348
PSO,0.404
PSO,0.306
PSO,0.309
PSO,0.319
PSO,0.313
PSO,0.315
PSO,0.295
PSO,0.344
PSO,0.814
PSO,0.314
PSO,0.293
PSO,0.308
PSO,0.822
PSO,0.567
PSO,0.318
PSO,0.314
PSO,0.315
PSO,0.817
PSO,0.826
PSO,0.813
PSO,0.44
PSO,0.818
PSO,0.265
PSO,0.254
PSO,0.235
PSO,0.232
PSO,0.231
PSO,0.23
PSO,0.233
PSO,0.231
PSO,0.34
PSO,0.254
PSO,0.241
PSO,0.241
PSO,0.222
PSO,0.235
PSO,0.249
PSO,0.302
PSO,0.23
PSO,0.635
PSO,0.222
PSO,0.243
PSO,0.633
PSO,0.259
PSO,0.229
PSO,0.234
PSO,0.297
PSO,0.25
PSO,0.627
PSO,0.467
PSO,0.624
PSO,0.64
PSO,0.625
PSO,0.319
PSO,0.339
PSO,0.331
PSO,0.344
PSO,0.331
PSO,0.311
PSO,0.341
PSO,0.346
PSO,0.349
PSO,0.33
PSO,0.333
PSO,0.341
PSO,0.335
PSO,0.33
PSO,0.331
PSO,0.718
PSO,0.347
PSO,0.863
PSO,0.347
PSO,0.325
PSO,0.862
PSO,0.328
PSO,0.338
PSO,0.337
PSO,0.845
PSO,0.848
PSO,0.355
PSO,0.866
PSO,0.335
PSO,0.366
PSO,0.85
PSO,0.348
PSO,0.347
PSO,0.337
PSO,0.342
PSO,0.343
PSO,0.34
PSO,0.321
PSO,0.351
PSO,0.348
PSO,0.352
PSO,0.34
PSO,0.34
PSO,0.342
PSO,0.352
PSO,0.893
PSO,0.891
PSO,0.348
PSO,0.319
PSO,0.352
PSO,0.889
PSO,0.35
PSO,0.344
PSO,0.338
PSO,0.881
PSO,0.872
PSO,0.342
PSO,0.892
PSO,0.349
PSO,0.713
PSO,0.48
PSO,0.483
PSO,0.213
PSO,0.247
PSO,0.22
PSO,0.29
PSO,0.229
PSO,0.225
PSO,0.205
PSO,0.217
PSO,0.208
PSO,0.218
PSO,0.205
PSO,0.232
PSO,0.304
PSO,0.21
PSO,0.534
PSO,0.223
PSO,0.206
PSO,0.227
PSO,0.54
PSO,0.217
PSO,0.526
PSO,0.527
PSO,0.21
PSO,0.222
PSO,0.525
PSO,0.21
PSO,0.208
PSO,0.219
PSO,0.495
PSO,0.511
PSO,0.535
PSO,0.168
PSO,0.142
PSO,0.156
PSO,0.149
PSO,0.146
PSO,0.156
PSO,0.142
PSO,0.142
PSO,0.145
PSO,0.144
PSO,0.148
PSO,0.143
PSO,0.159
PSO,0.152
PSO,0.372
PSO,0.147
PSO,0.144
PSO,0.144
PSO,0.364
PSO,0.149
PSO,0.141
PSO,0.365
PSO,0.367
PSO,0.148
PSO,0.207
PSO,0.155
PSO,0.15
PSO,0.146
PSO,0.142
PSO,0.372
PSO,0.369
PSO,0.234
PSO,0.231
PSO,0.24
PSO,0.31
PSO,0.236
PSO,0.228
PSO,0.233
PSO,0.236
PSO,0.287
PSO,0.229
PSO,0.235
PSO,0.237
PSO,0.253
PSO,0.243
PSO,0.23
PSO,0.248
PSO,0.575
PSO,0.582
PSO,0.259
PSO,0.58
PSO,0.231
PSO,0.281
PSO,0.373
PSO,0.264
PSO,0.584
PSO,0.241
PSO,0.227
PSO,0.243
PSO,0.335
PSO,0.592
PSO,0.561
PSO,0.261
PSO,0.258
PSO,0.234
PSO,0.241
PSO,0.254
PSO,0.253
PSO,0.235
PSO,0.247
PSO,0.374
PSO,0.239
PSO,0.259
PSO,0.24
PSO,0.592
PSO,0.249
PSO,0.321
PSO,0.254
PSO,0.599
PSO,0.249
PSO,0.234
PSO,0.241
PSO,0.265
PSO,0.609
PSO,0.596
PSO,0.246
PSO,0.245
PSO,0.247
PSO,0.235
PSO,0.607
PSO,0.445
PSO,0.589
PSO,0.591
PSO,0.222
PSO,0.214
PSO,0.223
PSO,0.213
PSO,0.24
PSO,0.22
PSO,0.229
PSO,0.215
PSO,0.217
PSO,0.222
PSO,0.215
PSO,0.262
PSO,0.225
PSO,0.536
PSO,0.229
PSO,0.228
PSO,0.275
PSO,0.221
PSO,0.543
PSO,0.536
PSO,0.222
PSO,0.218
PSO,0.209
PSO,0.214
PSO,0.311
PSO,0.232
PSO,0.38
PSO,0.549
PSO,0.375
PSO,0.536
PSO,0.535
PSO,0.151
PSO,0.149
PSO,0.156
PSO,0.152
PSO,0.149
PSO,0.163
PSO,0.149
PSO,0.148
PSO,0.316
PSO,0.156
PSO,0.149
PSO,0.157
PSO,0.35
PSO,0.148
PSO,0.155
PSO,0.381
PSO,0.15
PSO,0.15
PSO,0.147
PSO,0.149
PSO,0.168
PSO,0.147
PSO,0.167
PSO,0.18
PSO,0.164
PSO,0.149
PSO,0.201
PSO,0.383
PSO,0.181
PSO,0.381
PSO,0.381
PSO,0.241
PSO,0.235
PSO,0.261
PSO,0.245
PSO,0.234
PSO,0.254
PSO,0.233
PSO,0.238
PSO,0.294
PSO,0.397
PSO,0.25
PSO,0.235
PSO,0.237
PSO,0.256
PSO,0.586
PSO,0.244
PSO,0.235
PSO,0.592
PSO,0.257
PSO,0.308
PSO,0.254
PSO,0.239
PSO,0.242
PSO,0.593
PSO,0.592
PSO,0.249
PSO,0.6
PSO,0.28
PSO,0.239
PSO,0.591
PSO,0.587
PSO,0.271
PSO,0.292
PSO,0.26
PSO,0.253
PSO,0.247
PSO,0.259
PSO,0.239
PSO,0.253
PSO,0.352
PSO,0.259
PSO,0.245
PSO,0.256
PSO,0.249
PSO,0.61
PSO,0.261
PSO,0.241
PSO,0.427
PSO,0.266
PSO,0.257
PSO,0.5
PSO,0.27
PSO,0.616
PSO,0.239
PSO,0.619
PSO,0.251
PSO,0.388
PSO,0.255
PSO,0.249
PSO,0.403
PSO,0.617
PSO,0.611
PSO,0.311
PSO,0.313
PSO,0.288
PSO,0.349
PSO,0.303
PSO,0.324
PSO,0.3
PSO,0.343
PSO,0.292
PSO,0.545
PSO,0.31
PSO,0.558
PSO,0.346
PSO,0.289
PSO,0.299
PSO,0.317
PSO,0.805
PSO,0.325
PSO,0.324
PSO,0.815
PSO,0.308
PSO,0.811
PSO,0.314
PSO,0.303
PSO,0.289
PSO,0.317
PSO,0.311
PSO,0.474
PSO,0.819
PSO,0.802
PSO,0.808
PSO,0.321
PSO,0.307
PSO,0.314
PSO,0.304
PSO,0.312
PSO,0.289
PSO,0.314
PSO,0.29
PSO,0.327
PSO,0.583
PSO,0.322
PSO,0.289
PSO,0.334
PSO,0.29
PSO,0.307
PSO,0.803
PSO,0.305
PSO,0.317
PSO,0.819
PSO,0.455
PSO,0.316
PSO,0.812
PSO,0.314
PSO,0.288
PSO,0.376
PSO,0.302
PSO,0.306
PSO,0.409
PSO,0.82
PSO,0.799
PSO,0.807
PSO,0.358
PSO,0.349
PSO,0.366
PSO,0.341
PSO,0.486
PSO,0.378
PSO,0.345
PSO,0.343
PSO,0.384
PSO,0.584
PSO,0.372
PSO,0.36
PSO,0.341
PSO,0.912
PSO,0.405
PSO,0.34
PSO,0.48
PSO,0.92
PSO,0.376
PSO,0.367
PSO,0.916
PSO,0.353
PSO,0.364
PSO,0.341
PSO,0.423
PSO,0.922
PSO,0.359
PSO,0.346
PSO,0.559
PSO,0.814
PSO,0.911
PSO,0.34
PSO,0.385
PSO,0.413
PSO,0.503
PSO,0.404
PSO,0.343
PSO,0.484
PSO,0.371
PSO,0.376
PSO,0.367
PSO,0.398
PSO,0.496
PSO,0.399
PSO,0.343
PSO,0.342
PSO,0.378
PSO,0.927
PSO,0.919
PSO,0.646
PSO,0.384
PSO,0.375
PSO,0.361
PSO,0.458
PSO,0.362
PSO,0.925
PSO,0.361
PSO,0.341
PSO,0.444
PSO,0.922
PSO,0.768
PSO,0.913
PSO,0.224
PSO,0.247
PSO,0.323
PSO,0.24
PSO,0.209
PSO,0.21
PSO,0.255
PSO,0.209
PSO,0.212
PSO,0.549
PSO,0.214
PSO,0.539
PSO,0.22
PSO,0.222
PSO,0.205
PSO,0.208
PSO,0.39
PSO,0.235
PSO,0.225
PSO,0.213
PSO,0.213
PSO,0.543
PSO,0.218
PSO,0.22
PSO,0.207
PSO,0.492
PSO,0.549
PSO,0.307
PSO,0.54
PSO,0.548
PSO,0.541
PSO,0.213
PSO,0.207
PSO,0.228
PSO,0.218
PSO,0.213
PSO,0.206
PSO,0.214
PSO,0.285
PSO,0.209
PSO,0.291
PSO,0.222
PSO,0.241
PSO,0.217
PSO,0.245
PSO,0.206
PSO,0.336
PSO,0.217
PSO,0.22
PSO,0.307
PSO,0.23
PSO,0.544
PSO,0.221
PSO,0.271
PSO,0.258
PSO,0.206
PSO,0.544
PSO,0.36
PSO,0.54
PSO,0.431
PSO,0.542
PSO,0.545
PSO,0.268
PSO,0.265
PSO,0.272
PSO,0.264
PSO,0.284
PSO,0.286
PSO,0.263
PSO,0.257
PSO,0.307
PSO,0.322
PSO,0.267
PSO,0.276
PSO,0.283
PSO,0.294
PSO,0.273
PSO,0.3
PSO,0.642
PSO,0.256
PSO,0.323
PSO,0.284
PSO,0.271
PSO,0.579
PSO,0.284
PSO,0.281
PSO,0.637
PSO,0.266
PSO,0.626
PSO,0.276
PSO,0.393
PSO,0.643
PSO,0.647
PSO,0.257
PSO,0.272
PSO,0.262
PSO,0.277
PSO,0.267
PSO,0.285
PSO,0.268
PSO,0.382
PSO,0.282
PSO,0.257
PSO,0.271
PSO,0.319
PSO,0.299
PSO,0.646
PSO,0.353
PSO,0.277
PSO,0.279
PSO,0.635
PSO,0.271
PSO,0.296
PSO,0.266
PSO,0.58
PSO,0.258
PSO,0.637
PSO,0.299
PSO,0.27
PSO,0.264
PSO,0.642
PSO,0.651
PSO,0.511
PSO,0.644
PSO,0.191
PSO,0.174
PSO,0.212
PSO,0.173
PSO,0.203
PSO,0.259
PSO,0.186
PSO,0.268
PSO,0.185
PSO,0.181
PSO,0.187
PSO,0.205
PSO,0.173
PSO,0.219
PSO,0.259
PSO,0.173
PSO,0.173
PSO,0.19
PSO,0.173
PSO,0.453
PSO,0.185
PSO,0.185
PSO,0.173
PSO,0.176
PSO,0.212
PSO,0.178
PSO,0.451
PSO,0.442
PSO,0.459
PSO,0.41
PSO,0.345
PSO,0.172
PSO,0.181
PSO,0.185
PSO,0.201
PSO,0.173
PSO,0.177
PSO,0.179
PSO,0.196
PSO,0.172
PSO,0.181
PSO,0.186
PSO,0.212
PSO,0.199
PSO,0.207
PSO,0.474
PSO,0.21
PSO,0.219
PSO,0.479
PSO,0.217
PSO,0.234
PSO,0.245
PSO,0.376
PSO,0.247
PSO,0.236
PSO,0.316
PSO,0.228
PSO,0.511
PSO,0.521
PSO,0.502
PSO,0.545
PSO,0.539
PSO,0.315
PSO,0.286
PSO,0.307
PSO,0.29
PSO,0.375
PSO,0.3
PSO,0.295
PSO,0.286
PSO,0.365
PSO,0.384
PSO,0.295
PSO,0.297
PSO,0.287
PSO,0.29
PSO,0.461
PSO,0.659
PSO,0.323
PSO,0.281
PSO,0.264
PSO,0.639
PSO,0.642
PSO,0.328
PSO,0.256
PSO,0.301
PSO,0.242
PSO,0.609
PSO,0.465
PSO,0.258
PSO,0.236
PSO,0.305
PSO,0.582
PSO,0.221
PSO,0.224
PSO,0.225
PSO,0.231
PSO,0.233
PSO,0.262
PSO,0.222
PSO,0.255
PSO,0.251
PSO,0.552
PSO,0.223
PSO,0.54
PSO,0.373
PSO,0.295
PSO,0.275
PSO,0.223
PSO,0.239
PSO,0.519
PSO,0.556
PSO,0.246
PSO,0.221
PSO,0.284
PSO,0.266
PSO,0.253
PSO,0.233
PSO,0.254
PSO,0.228
PSO,0.311
PSO,0.546
PSO,0.545
PSO,0.554
PSO,0.319
PSO,0.32
PSO,0.299
PSO,0.389
PSO,0.289
PSO,0.335
PSO,0.419
PSO,0.347
PSO,0.322
PSO,0.29
PSO,0.406
PSO,0.294
PSO,0.598
PSO,0.317
PSO,0.299
PSO,0.289
PSO,0.343
PSO,0.81
PSO,0.301
PSO,0.291
PSO,0.818
PSO,0.354
PSO,0.333
PSO,0.339
PSO,0.295
PSO,0.291
PSO,0.347
PSO,0.801
PSO,0.802
PSO,0.822
PSO,0.817
PSO,0.381
PSO,0.346
PSO,0.321
PSO,0.29
PSO,0.326
PSO,0.324
PSO,0.29
PSO,0.29
PSO,0.36
PSO,0.476
PSO,0.597
PSO,0.293
PSO,0.308
PSO,0.29
PSO,0.324
PSO,0.309
PSO,0.311
PSO,0.322
PSO,0.303
PSO,0.821
PSO,0.291
PSO,0.367
PSO,0.293
PSO,0.31
PSO,0.803
PSO,0.759
PSO,0.32
PSO,0.527
PSO,0.804
PSO,0.827
PSO,0.818
PSO,0.316
PSO,0.3
PSO,0.29
PSO,0.292
PSO,0.324
PSO,0.3
PSO,0.35
PSO,0.301
PSO,0.298
PSO,0.303
PSO,0.294
PSO,0.292
PSO,0.374
PSO,0.486
PSO,0.322
PSO,0.299
PSO,0.805
PSO,0.315
PSO,0.318
PSO,0.821
PSO,0.303
PSO,0.347
PSO,0.297
PSO,0.318
PSO,0.807
PSO,0.325
PSO,0.307
PSO,0.591
PSO,0.809
PSO,0.818
PSO,0.822
PSO,0.31
PSO,0.295
PSO,0.301
PSO,0.326
PSO,0.319
PSO,0.309
PSO,0.359
PSO,0.316
PSO,0.3
PSO,0.299
PSO,0.639
PSO,0.3
PSO,0.307
PSO,0.34
PSO,0.307
PSO,0.537
PSO,0.767
PSO,0.296
PSO,0.329
PSO,0.299
PSO,0.293
PSO,0.305
PSO,0.808
PSO,0.364
PSO,0.333
PSO,0.323
