MH,Data
PSO,0.758
PSO,0.831
PSO,0.639
PSO,0.734
PSO,0.704
PSO,0.57
PSO,0.689
PSO,0.71
PSO,0.618
PSO,0.641
PSO,0.633
PSO,0.594
PSO,0.569
PSO,0.652
PSO,0.633
PSO,0.637
PSO,0.609
PSO,0.576
PSO,0.615
PSO,0.626
PSO,0.556
PSO,0.713
PSO,0.617
PSO,0.6
PSO,0.682
PSO,0.55
PSO,0.593
PSO,0.555
PSO,1.65
PSO,1.552
PSO,1.601
PSO,0.571
PSO,0.652
PSO,0.648
PSO,0.553
PSO,0.552
PSO,0.664
PSO,0.557
PSO,0.583
PSO,0.62
PSO,0.649
PSO,0.59
PSO,0.551
PSO,0.624
PSO,0.615
PSO,0.557
PSO,0.602
PSO,0.639
PSO,0.611
PSO,0.551
PSO,0.612
PSO,0.618
PSO,1.651
PSO,0.583
PSO,0.582
PSO,1.223
PSO,0.626
PSO,0.621
PSO,1.551
PSO,0.553
PSO,0.615
PSO,0.756
PSO,0.698
PSO,0.662
PSO,0.663
PSO,0.732
PSO,0.722
PSO,0.652
PSO,0.762
PSO,0.7
PSO,0.744
PSO,0.682
PSO,0.712
PSO,0.659
PSO,1.418
PSO,0.734
PSO,0.745
PSO,0.651
PSO,0.719
PSO,1.861
PSO,0.702
PSO,0.852
PSO,0.702
PSO,1.748
PSO,0.662
PSO,0.69
PSO,0.745
PSO,1.576
PSO,0.654
PSO,1.003
PSO,0.666
PSO,1.245
PSO,0.897
PSO,0.695
PSO,0.713
PSO,0.726
PSO,0.654
PSO,0.766
PSO,0.657
PSO,0.71
PSO,0.664
PSO,0.728
PSO,0.784
PSO,0.689
PSO,0.654
PSO,0.751
PSO,1.861
PSO,1.735
PSO,0.688
PSO,0.705
PSO,1.793
PSO,1.751
PSO,0.677
PSO,1.585
PSO,0.705
PSO,0.762
PSO,0.725
PSO,0.726
PSO,0.653
PSO,0.724
PSO,0.723
PSO,0.765
PSO,1.75
PSO,1.853
PSO,0.39
PSO,0.479
PSO,0.473
PSO,0.391
PSO,0.454
PSO,0.393
PSO,0.452
PSO,0.395
PSO,1.02
PSO,1.053
PSO,0.452
PSO,0.404
PSO,1.025
PSO,0.401
PSO,1.046
PSO,0.455
PSO,0.391
PSO,0.392
PSO,0.452
PSO,1.016
PSO,0.419
PSO,0.43
PSO,0.413
PSO,0.391
PSO,0.449
PSO,0.438
PSO,0.451
PSO,0.544
PSO,1.017
PSO,1.057
PSO,1.05
PSO,0.393
PSO,0.435
PSO,0.424
PSO,0.486
PSO,0.435
PSO,0.392
PSO,0.443
PSO,0.412
PSO,0.523
PSO,0.415
PSO,0.425
PSO,0.454
PSO,0.395
PSO,0.395
PSO,1.016
PSO,0.443
PSO,0.427
PSO,0.404
PSO,0.411
PSO,0.409
PSO,0.456
PSO,0.409
PSO,1.018
PSO,0.395
PSO,0.424
PSO,1.06
PSO,1.045
PSO,1.023
PSO,1.052
PSO,1.046
PSO,1.014
PSO,0.529
PSO,0.523
PSO,0.506
PSO,0.506
PSO,0.536
PSO,0.537
PSO,0.497
PSO,0.509
PSO,0.586
PSO,0.527
PSO,0.511
PSO,0.507
PSO,0.523
PSO,0.536
PSO,0.512
PSO,0.505
PSO,0.556
PSO,1.018
PSO,1.198
PSO,0.552
PSO,0.516
PSO,0.506
PSO,0.519
PSO,1.249
PSO,0.534
PSO,0.522
PSO,0.559
PSO,1.202
PSO,1.241
PSO,1.238
PSO,1.219
PSO,0.522
PSO,0.519
PSO,0.526
PSO,0.52
PSO,0.508
PSO,0.524
PSO,0.528
PSO,0.544
PSO,1.005
PSO,0.54
PSO,0.523
PSO,0.527
PSO,0.524
PSO,0.51
PSO,1.2
PSO,0.546
PSO,0.577
PSO,0.537
PSO,0.528
PSO,1.251
PSO,0.532
PSO,0.524
PSO,0.525
PSO,1.203
PSO,0.515
PSO,1.149
PSO,0.542
PSO,1.244
PSO,1.219
PSO,0.72
PSO,1.163
PSO,0.35
PSO,0.334
PSO,0.379
PSO,0.422
PSO,0.328
PSO,0.353
PSO,0.328
PSO,0.359
PSO,0.35
PSO,0.325
PSO,0.411
PSO,0.405
PSO,0.329
PSO,0.382
PSO,0.385
PSO,0.345
PSO,0.875
PSO,0.325
PSO,0.779
PSO,0.821
PSO,0.389
PSO,0.325
PSO,0.333
PSO,0.348
PSO,0.36
PSO,0.599
PSO,0.335
PSO,0.357
PSO,0.865
PSO,0.837
PSO,0.832
PSO,0.334
PSO,0.358
PSO,0.345
PSO,0.342
PSO,0.355
PSO,0.336
PSO,0.33
PSO,0.35
PSO,0.523
PSO,0.344
PSO,0.354
PSO,0.347
PSO,0.36
PSO,0.872
PSO,0.492
PSO,0.332
PSO,0.333
PSO,0.84
PSO,0.341
PSO,0.86
PSO,0.34
PSO,0.339
PSO,0.396
PSO,0.469
PSO,0.353
PSO,0.338
PSO,0.335
PSO,0.84
PSO,0.86
PSO,0.837
PSO,0.877
PSO,0.438
PSO,0.435
PSO,0.437
PSO,0.47
PSO,0.578
PSO,0.453
PSO,0.443
PSO,0.434
PSO,0.579
PSO,0.489
PSO,0.436
PSO,0.494
