MH,Data
PSO,2.324
PSO,1.376
PSO,1.399
PSO,2.257
PSO,2.087
PSO,4.053
PSO,1.804
PSO,2.055
PSO,1.505
PSO,1.559
PSO,1.836
PSO,1.675
PSO,1.535
PSO,4.068
PSO,1.5
PSO,1.637
PSO,1.373
PSO,1.729
PSO,3.88
PSO,1.58
PSO,1.507
PSO,1.476
PSO,1.456
PSO,1.383
PSO,1.726
PSO,1.636
PSO,1.4
PSO,1.651
PSO,1.689
PSO,3.994
PSO,3.895
PSO,1.568
PSO,1.43
PSO,1.481
PSO,1.634
PSO,1.405
PSO,1.649
PSO,1.415
PSO,1.568
PSO,1.49
PSO,1.456
PSO,3.128
PSO,1.573
PSO,1.399
PSO,1.653
PSO,1.583
PSO,1.552
PSO,1.47
PSO,1.499
PSO,1.414
PSO,1.62
PSO,1.395
PSO,1.604
PSO,1.573
PSO,1.503
PSO,1.492
PSO,1.442
PSO,3.389
PSO,1.546
PSO,3.99
PSO,3.892
PSO,3.966
PSO,1.687
PSO,1.823
PSO,1.828
PSO,1.778
PSO,1.72
PSO,1.937
PSO,1.666
PSO,2.044
PSO,2.324
PSO,1.655
PSO,1.673
PSO,1.804
PSO,1.756
PSO,2.565
PSO,1.752
PSO,1.762
PSO,1.911
PSO,1.654
PSO,1.913
PSO,2.196
PSO,1.754
PSO,4.494
PSO,1.64
PSO,1.915
PSO,1.764
PSO,1.862
PSO,4.396
PSO,1.944
PSO,4.472
PSO,3.733
PSO,4.507
PSO,1.652
PSO,1.758
PSO,1.705
PSO,1.776
PSO,1.703
PSO,1.808
PSO,1.908
PSO,2.227
PSO,1.653
PSO,1.834
PSO,1.728
PSO,1.75
PSO,1.875
PSO,1.773
PSO,2.894
PSO,1.798
PSO,1.891
PSO,1.659
PSO,4.498
PSO,1.767
PSO,4.405
PSO,1.744
PSO,1.832
PSO,1.671
PSO,1.728
PSO,4.467
PSO,1.726
PSO,1.854
PSO,3.628
PSO,4.453
PSO,4.495
PSO,1.273
PSO,0.985
PSO,1.091
PSO,1.144
PSO,1.058
PSO,1.047
PSO,1.008
PSO,1.026
PSO,0.986
PSO,1.102
PSO,1.154
PSO,2.681
PSO,1.31
PSO,1.094
PSO,2.635
PSO,2.568
PSO,1.089
PSO,1.004
PSO,1.021
PSO,0.973
PSO,1.081
PSO,1.447
PSO,1.139
PSO,0.978
PSO,2.637
PSO,1.088
PSO,1.312
PSO,2.677
PSO,2.59
PSO,2.557
PSO,2.642
PSO,1.014
PSO,0.995
PSO,1.043
PSO,1.112
PSO,0.988
PSO,1.153
PSO,1.051
PSO,1.0
PSO,1.084
PSO,1.041
PSO,1.027
PSO,2.183
PSO,1.089
PSO,1.035
PSO,1.092
PSO,1.085
PSO,1.056
PSO,1.055
PSO,0.98
PSO,1.032
PSO,1.053
PSO,1.052
PSO,2.655
PSO,1.074
PSO,1.786
PSO,2.642
PSO,1.085
PSO,2.677
PSO,2.591
PSO,2.569
PSO,2.647
PSO,1.347
PSO,1.295
PSO,1.3
PSO,1.268
PSO,1.296
PSO,1.316
PSO,1.281
PSO,1.241
PSO,1.488
PSO,2.232
PSO,1.317
PSO,1.302
PSO,1.277
PSO,1.282
PSO,1.253
PSO,1.255
PSO,1.392
PSO,1.372
PSO,3.131
PSO,2.126
PSO,1.27
PSO,1.306
PSO,3.124
PSO,1.29
PSO,1.283
PSO,1.357
PSO,1.655
PSO,3.024
PSO,3.096
PSO,3.146
PSO,3.14
PSO,1.342
PSO,1.379
PSO,1.308
PSO,1.293
PSO,1.299
PSO,1.286
PSO,1.338
PSO,1.429
PSO,1.334
PSO,1.246
PSO,1.336
PSO,1.306
PSO,1.297
PSO,1.292
PSO,2.739
PSO,1.319
PSO,1.385
PSO,3.14
PSO,1.373
PSO,3.123
PSO,1.28
PSO,1.3
PSO,1.429
PSO,1.303
PSO,1.27
PSO,1.258
PSO,3.037
PSO,3.101
PSO,3.141
PSO,3.133
PSO,2.421
PSO,0.92
PSO,0.924
PSO,0.88
PSO,0.856
PSO,0.933
PSO,0.793
PSO,0.807
PSO,0.879
PSO,0.792
PSO,0.851
PSO,0.835
PSO,0.865
PSO,0.904
PSO,2.118
PSO,0.844
PSO,2.128
PSO,0.852
PSO,0.825
PSO,0.831
PSO,1.085
PSO,0.834
PSO,0.854
PSO,0.875
PSO,0.866
PSO,0.869
PSO,2.049
PSO,2.085
PSO,2.144
PSO,2.15
PSO,2.066
PSO,2.131
PSO,0.837
PSO,0.813
PSO,0.904
PSO,0.808
PSO,0.847
PSO,0.903
PSO,0.875
PSO,0.798
PSO,0.85
PSO,0.863
PSO,0.8
PSO,0.801
PSO,0.833
PSO,0.881
PSO,2.128
PSO,0.885
PSO,0.831
PSO,0.901
PSO,0.859
PSO,0.823
PSO,0.801
PSO,0.818
PSO,0.861
PSO,1.244
PSO,0.884
PSO,2.068
PSO,2.098
PSO,2.161
PSO,2.141
PSO,2.123
PSO,2.126
PSO,1.122
PSO,1.288
PSO,1.114
PSO,1.079
PSO,1.052
PSO,1.095
PSO,1.192
PSO,1.301
PSO,1.462
PSO,1.087
PSO,1.7
PSO,1.06
PSO,1.042
PSO,1.057
PSO,1.107
PSO,1.074
PSO,1.251
PSO,1.126
PSO,1.116
PSO,1.071
PSO,1.054
PSO,1.104
PSO,1.085
PSO,2.536
PSO,1.087
PSO,2.589
PSO,2.631
PSO,2.626
PSO,2.606
PSO,2.615
PSO,2.532
PSO,1.181
PSO,1.18
PSO,1.122
PSO,1.093
PSO,1.068
PSO,1.084
PSO,1.095
PSO,1.09
PSO,1.144
PSO,1.181
PSO,1.148
PSO,1.105
PSO,1.068
PSO,1.086
PSO,1.092
PSO,1.092
PSO,1.121
PSO,1.165
PSO,2.535
PSO,1.16
PSO,1.123
PSO,2.601
PSO,1.09
PSO,1.094
PSO,1.099
PSO,1.093
PSO,2.652
PSO,2.635
PSO,2.616
PSO,2.615
PSO,2.538
PSO,1.489
PSO,1.519
PSO,1.515
PSO,1.48
PSO,1.469
PSO,1.451
PSO,1.459
PSO,1.477
PSO,1.716
PSO,1.511
PSO,1.525
PSO,1.496
PSO,1.48
PSO,1.847
PSO,1.483
PSO,1.465
PSO,1.621
PSO,1.582
PSO,3.902
PSO,2.056
PSO,1.527
PSO,3.889
PSO,1.405
PSO,1.769
PSO,1.453
PSO,3.935
PSO,1.425
PSO,4.105
PSO,3.929
PSO,3.965
PSO,3.594
PSO,1.24
PSO,1.25
PSO,1.19
PSO,1.156
PSO,1.325
PSO,1.309
PSO,1.062
PSO,1.055
PSO,1.104
PSO,1.41
PSO,1.31
PSO,1.068
PSO,1.258
PSO,1.108
PSO,1.098
PSO,1.094
PSO,1.094
PSO,2.971
PSO,1.204
PSO,1.092
PSO,1.068
PSO,1.398
PSO,1.103
PSO,1.166
PSO,3.03
PSO,1.095
PSO,2.868
PSO,3.197
PSO,3.017
PSO,3.044
PSO,2.965
PSO,1.615
PSO,1.606
PSO,1.548
PSO,1.616
PSO,1.628
PSO,1.541
PSO,1.521
PSO,1.65
PSO,2.17
PSO,1.899
PSO,1.527
PSO,1.614
PSO,1.617
PSO,2.11
PSO,1.728
PSO,1.512
PSO,4.118
PSO,1.572
PSO,1.667
PSO,1.659
PSO,2.312
PSO,1.623
PSO,1.528
PSO,4.179
PSO,1.567
PSO,4.16
PSO,4.35
PSO,3.027
PSO,4.193
PSO,1.87
PSO,4.087
PSO,1.538
PSO,1.672
PSO,1.694
PSO,1.541
PSO,1.673
PSO,1.582
PSO,1.672
PSO,1.794
PSO,1.541
PSO,1.773
PSO,1.68
PSO,1.597
PSO,1.624
PSO,1.621
PSO,1.631
PSO,1.751
PSO,4.231
PSO,1.539
PSO,1.773
PSO,1.709
PSO,1.638
PSO,4.336
PSO,1.615
PSO,1.627
PSO,4.087
PSO,1.614
PSO,4.289
PSO,1.714
PSO,4.342
PSO,4.516
PSO,3.501
PSO,0.968
PSO,1.203
PSO,1.17
PSO,1.094
PSO,0.966
PSO,0.977
PSO,0.975
PSO,0.983
PSO,0.975
PSO,1.477
PSO,1.049
PSO,2.527
PSO,1.128
PSO,1.094
PSO,1.213
PSO,0.968
PSO,1.054
PSO,0.974
PSO,1.091
PSO,1.009
PSO,2.548
PSO,1.098
PSO,2.579
