MH,Data
PSO,1.327
PSO,0.555
PSO,1.671
PSO,0.692
PSO,0.552
PSO,0.886
PSO,0.559
PSO,0.551
PSO,0.836
PSO,0.665
PSO,0.559
PSO,1.541
PSO,0.551
PSO,0.744
PSO,1.555
PSO,0.727
PSO,0.56
PSO,0.634
PSO,0.589
PSO,0.61
PSO,0.551
PSO,0.734
PSO,0.664
PSO,0.56
PSO,1.585
PSO,0.606
PSO,0.598
PSO,0.557
PSO,1.254
PSO,0.676
PSO,1.563
PSO,0.639
PSO,0.596
PSO,0.587
PSO,0.697
PSO,0.597
PSO,0.567
PSO,0.658
PSO,0.652
PSO,0.616
PSO,0.599
PSO,0.56
PSO,0.591
PSO,0.589
PSO,0.591
PSO,0.595
PSO,0.654
PSO,0.628
PSO,1.45
PSO,1.578
PSO,0.576
PSO,0.566
PSO,0.598
PSO,0.591
PSO,0.602
PSO,0.629
PSO,0.976
PSO,0.593
PSO,0.585
PSO,0.615
PSO,1.559
PSO,1.554
PSO,0.659
PSO,0.687
PSO,0.696
PSO,0.701
PSO,0.718
PSO,0.703
PSO,0.732
PSO,0.704
PSO,0.779
PSO,0.659
PSO,0.693
PSO,1.172
PSO,0.703
PSO,0.712
PSO,0.71
PSO,0.725
PSO,1.781
PSO,0.75
PSO,0.66
PSO,0.723
PSO,0.694
PSO,0.672
PSO,0.693
PSO,0.708
PSO,1.771
PSO,0.718
PSO,1.329
PSO,0.788
PSO,1.563
PSO,1.756
PSO,1.78
PSO,0.733
PSO,0.66
PSO,0.73
PSO,0.699
PSO,0.694
PSO,0.716
PSO,0.713
PSO,0.717
PSO,1.067
PSO,0.752
PSO,0.661
PSO,0.709
PSO,0.693
PSO,0.686
PSO,0.681
PSO,1.774
PSO,0.716
PSO,0.719
PSO,1.806
PSO,1.245
PSO,0.679
PSO,0.735
PSO,1.773
PSO,1.35
PSO,1.033
PSO,0.696
PSO,0.693
PSO,0.683
PSO,0.703
PSO,1.754
PSO,1.787
PSO,0.425
PSO,0.5
PSO,0.53
PSO,0.436
PSO,0.516
PSO,0.446
PSO,0.4
PSO,0.424
PSO,0.421
PSO,1.028
PSO,0.393
PSO,0.412
PSO,1.021
PSO,1.027
PSO,0.473
PSO,0.412
PSO,0.419
PSO,0.442
PSO,1.038
PSO,0.401
PSO,0.424
PSO,0.906
PSO,0.406
PSO,0.395
PSO,0.45
PSO,0.432
PSO,0.415
PSO,1.03
PSO,1.02
PSO,1.027
PSO,1.026
PSO,0.435
PSO,0.409
PSO,0.422
PSO,0.399
PSO,0.398
PSO,0.431
PSO,0.442
PSO,0.422
PSO,0.427
PSO,0.783
PSO,0.432
PSO,0.417
PSO,0.398
PSO,0.401
PSO,0.436
PSO,0.429
PSO,1.039
PSO,0.428
PSO,0.419
PSO,0.738
PSO,0.416
PSO,0.423
PSO,1.05
PSO,0.399
PSO,0.397
PSO,0.476
PSO,0.431
PSO,0.658
PSO,1.034
PSO,1.025
PSO,1.029
PSO,0.525
PSO,0.511
PSO,0.505
PSO,0.498
PSO,0.495
PSO,0.581
PSO,0.542
PSO,0.5
PSO,0.607
PSO,0.888
PSO,0.514
PSO,0.507
PSO,0.532
PSO,0.495
PSO,1.23
PSO,0.515
PSO,1.249
PSO,0.513
PSO,1.242
PSO,0.627
PSO,0.529
PSO,0.829
PSO,0.787
PSO,0.509
PSO,0.522
PSO,0.608
PSO,0.495
PSO,1.237
PSO,1.205
PSO,1.203
PSO,1.229
PSO,0.555
PSO,0.584
PSO,0.509
PSO,0.524
PSO,0.521
PSO,0.519
PSO,0.498
PSO,0.496
PSO,0.583
PSO,0.572
PSO,0.539
PSO,0.518
PSO,1.247
PSO,0.523
PSO,0.519
PSO,0.508
PSO,1.248
PSO,1.146
PSO,0.55
PSO,0.495
PSO,0.577
PSO,0.555
PSO,0.524
PSO,0.522
PSO,0.52
PSO,1.237
PSO,1.209
PSO,0.632
PSO,1.21
PSO,1.228
PSO,1.186
PSO,0.33
PSO,0.326
PSO,0.378
PSO,0.505
PSO,0.484
PSO,0.363
PSO,0.343
PSO,0.328
PSO,0.326
PSO,0.348
PSO,0.352
PSO,0.854
