MH,Data
PSO,0.425
PSO,0.409
PSO,0.787
PSO,0.783
PSO,0.376
PSO,0.559
PSO,0.362
PSO,0.425
PSO,0.361
PSO,0.31
PSO,0.485
PSO,0.283
PSO,0.29
PSO,0.313
PSO,0.5
PSO,0.788
PSO,0.785
PSO,0.301
PSO,0.386
PSO,0.802
PSO,0.283
PSO,0.301
PSO,0.284
PSO,0.304
PSO,0.401
PSO,0.288
PSO,0.341
PSO,0.506
PSO,0.788
PSO,0.782
PSO,0.799
PSO,0.284
PSO,0.292
PSO,0.298
PSO,0.303
PSO,0.371
PSO,0.348
PSO,0.305
PSO,0.297
PSO,0.302
PSO,0.425
PSO,0.286
PSO,0.332
PSO,0.285
PSO,0.327
PSO,0.395
PSO,0.313
PSO,0.305
PSO,0.3
PSO,0.298
PSO,0.309
PSO,0.418
PSO,0.311
PSO,0.287
PSO,0.344
PSO,0.305
PSO,0.3
PSO,0.784
PSO,0.792
PSO,0.785
PSO,0.8
PSO,0.8
PSO,0.35
PSO,0.353
PSO,0.335
PSO,0.373
PSO,0.346
PSO,0.365
PSO,0.359
PSO,0.356
PSO,0.382
PSO,0.354
PSO,0.34
PSO,0.36
PSO,0.356
PSO,0.36
PSO,0.363
PSO,0.358
PSO,0.375
PSO,0.892
PSO,0.367
PSO,0.343
PSO,0.353
PSO,0.451
PSO,0.359
PSO,0.361
PSO,0.887
PSO,0.506
PSO,0.373
PSO,0.895
PSO,0.357
PSO,0.886
PSO,0.902
PSO,0.348
PSO,0.371
PSO,0.447
PSO,0.376
PSO,0.391
PSO,0.361
PSO,0.367
PSO,0.348
PSO,0.396
PSO,0.337
PSO,0.45
PSO,0.352
PSO,0.36
PSO,0.367
PSO,0.895
PSO,0.365
PSO,0.332
PSO,0.409
PSO,0.337
PSO,0.36
PSO,0.349
PSO,0.359
PSO,0.887
PSO,0.363
PSO,0.897
PSO,0.366
PSO,0.883
PSO,0.77
PSO,0.898
PSO,0.903
PSO,0.895
PSO,0.199
PSO,0.256
PSO,0.238
PSO,0.199
PSO,0.206
PSO,0.213
PSO,0.221
PSO,0.199
PSO,0.208
PSO,0.216
PSO,0.212
PSO,0.203
PSO,0.199
PSO,0.214
PSO,0.3
PSO,0.218
PSO,0.199
PSO,0.225
PSO,0.399
PSO,0.217
PSO,0.515
PSO,0.205
PSO,0.213
PSO,0.295
PSO,0.522
PSO,0.213
PSO,0.218
PSO,0.209
PSO,0.523
PSO,0.294
PSO,0.53
PSO,0.199
PSO,0.215
PSO,0.271
PSO,0.22
PSO,0.199
PSO,0.202
PSO,0.212
PSO,0.2
PSO,0.237
PSO,0.241
PSO,0.224
PSO,0.199
PSO,0.227
PSO,0.198
PSO,0.208
PSO,0.493
PSO,0.322
PSO,0.2
PSO,0.227
PSO,0.216
PSO,0.523
PSO,0.518
PSO,0.518
PSO,0.254
PSO,0.204
PSO,0.208
PSO,0.217
PSO,0.201
PSO,0.525
PSO,0.304
PSO,0.535
PSO,0.263
PSO,0.251
PSO,0.263
PSO,0.29
PSO,0.256
PSO,0.254
PSO,0.26
PSO,0.285
PSO,0.327
PSO,0.251
PSO,0.253
PSO,0.274
PSO,0.61
PSO,0.27
PSO,0.361
PSO,0.255
PSO,0.257
PSO,0.623
PSO,0.618
PSO,0.611
PSO,0.274
PSO,0.254
PSO,0.261
PSO,0.269
PSO,0.62
PSO,0.272
PSO,0.258
PSO,0.413
PSO,0.253
PSO,0.632
PSO,0.613
PSO,0.252
PSO,0.27
PSO,0.276
PSO,0.266
PSO,0.314
PSO,0.271
PSO,0.249
PSO,0.254
PSO,0.257
PSO,0.261
PSO,0.294
PSO,0.268
PSO,0.622
PSO,0.616
PSO,0.249
PSO,0.262
PSO,0.609
PSO,0.27
PSO,0.251
PSO,0.532
PSO,0.256
PSO,0.255
PSO,0.621
PSO,0.282
PSO,0.277
PSO,0.265
PSO,0.632
PSO,0.266
PSO,0.618
PSO,0.623
PSO,0.621
PSO,0.193
PSO,0.174
PSO,0.174
PSO,0.173
PSO,0.19
PSO,0.198
PSO,0.27
PSO,0.314
PSO,0.183
PSO,0.169
PSO,0.171
PSO,0.184
PSO,0.178
PSO,0.195
PSO,0.18
PSO,0.201
PSO,0.173
PSO,0.174
PSO,0.205
PSO,0.169
PSO,0.443
PSO,0.332
PSO,0.192
PSO,0.179
PSO,0.188
PSO,0.449
PSO,0.179
PSO,0.179
PSO,0.17
PSO,0.237
PSO,0.448
PSO,0.17
PSO,0.183
PSO,0.183
PSO,0.266
PSO,0.22
PSO,0.186
PSO,0.17
PSO,0.171
PSO,0.173
PSO,0.17
PSO,0.189
PSO,0.181
PSO,0.178
PSO,0.443
PSO,0.443
PSO,0.198
PSO,0.17
PSO,0.172
PSO,0.367
PSO,0.17
PSO,0.437
PSO,0.168
PSO,0.395
PSO,0.187
PSO,0.449
PSO,0.338
PSO,0.169
PSO,0.185
PSO,0.202
PSO,0.443
PSO,0.444
PSO,0.229
PSO,0.22
PSO,0.222
PSO,0.219
PSO,0.244
PSO,0.24
PSO,0.218
PSO,0.223
PSO,0.297
PSO,0.258
PSO,0.234
PSO,0.217
PSO,0.246
PSO,0.226
PSO,0.481
PSO,0.218
PSO,0.242
PSO,0.223
PSO,0.53
PSO,0.394
PSO,0.545
PSO,0.254
PSO,0.545
PSO,0.226
PSO,0.217
PSO,0.242
PSO,0.236
PSO,0.54
PSO,0.536
PSO,0.528
PSO,0.517
PSO,0.218
PSO,0.222
PSO,0.239
PSO,0.226
PSO,0.233
PSO,0.236
PSO,0.218
PSO,0.257
PSO,0.218
PSO,0.354
PSO,0.231
PSO,0.231
PSO,0.231
PSO,0.228
PSO,0.529
PSO,0.218
PSO,0.254
PSO,0.549
PSO,0.323
PSO,0.218
PSO,0.226
PSO,0.227
PSO,0.22
PSO,0.231
PSO,0.254
PSO,0.331
PSO,0.486
PSO,0.537
PSO,0.541
PSO,0.435
PSO,0.53
PSO,0.294
PSO,0.317
PSO,0.296
PSO,0.309
PSO,0.291
PSO,0.331
PSO,0.331
PSO,0.322
PSO,0.294
PSO,0.371
PSO,0.316
PSO,0.296
PSO,0.291
