MH,Data
PSO,39.587
PSO,39.651
PSO,39.75
PSO,40.03
PSO,39.875
PSO,44.522
PSO,50.027
PSO,53.397
PSO,59.007
PSO,61.246
PSO,63.63
PSO,65.168
PSO,76.756
PSO,39.626
PSO,39.761
PSO,42.536
PSO,44.185
PSO,46.561
PSO,100.305
PSO,100.616
PSO,102.675
PSO,44.522
PSO,42.794
PSO,43.676
PSO,47.688
PSO,39.647
PSO,43.076
PSO,96.983
PSO,101.752
PSO,102.776
PSO,100.786
PSO,39.878
PSO,45.338
PSO,43.946
PSO,39.872
PSO,41.72
PSO,46.16
PSO,44.661
PSO,41.385
PSO,43.39
PSO,45.011
PSO,41.486
PSO,49.566
PSO,44.698
PSO,40.286
PSO,42.436
PSO,73.191
PSO,99.944
PSO,43.173
PSO,101.113
PSO,42.692
PSO,102.197
PSO,39.746
PSO,57.019
PSO,41.6
PSO,43.366
PSO,40.228
PSO,42.204
PSO,101.919
PSO,65.66
PSO,102.869
PSO,99.906
PSO,46.181
PSO,48.099
PSO,53.544
PSO,45.404
PSO,47.301
PSO,45.068
PSO,46.561
PSO,50.817
PSO,47.646
PSO,51.232
PSO,72.188
PSO,45.495
PSO,109.471
PSO,52.203
PSO,111.187
PSO,44.623
PSO,46.742
PSO,112.451
PSO,50.875
PSO,50.466
PSO,68.892
PSO,56.206
PSO,45.605
PSO,46.976
PSO,49.503
PSO,111.943
PSO,48.221
PSO,112.858
PSO,110.116
PSO,109.751
PSO,110.833
PSO,45.351
PSO,52.494
PSO,50.058
PSO,45.436
PSO,44.992
PSO,45.284
PSO,49.507
PSO,48.81
PSO,46.509
PSO,90.814
PSO,55.308
PSO,49.128
PSO,46.119
PSO,112.571
PSO,49.656
PSO,45.185
PSO,47.93
PSO,46.548
PSO,55.785
PSO,52.87
PSO,50.332
PSO,111.083
PSO,57.48
PSO,47.328
PSO,52.121
PSO,112.292
PSO,57.29
PSO,110.208
PSO,112.421
PSO,112.366
PSO,112.729
PSO,33.498
PSO,31.699
PSO,31.933
PSO,32.09
PSO,39.157
PSO,43.481
PSO,32.859
PSO,31.608
PSO,36.09
PSO,34.949
PSO,32.457
PSO,44.996
PSO,33.868
PSO,34.089
PSO,35.243
PSO,31.203
PSO,35.664
PSO,34.476
PSO,77.756
PSO,31.263
PSO,31.78
PSO,32.544
PSO,57.172
PSO,34.564
PSO,38.218
PSO,78.559
PSO,35.841
PSO,72.481
PSO,43.147
PSO,73.065
PSO,73.765
PSO,31.346
PSO,31.846
PSO,31.638
PSO,32.291
PSO,32.149
PSO,36.548
PSO,36.019
PSO,31.37
PSO,34.026
PSO,31.87
PSO,34.2
PSO,31.988
PSO,58.307
PSO,33.99
PSO,32.058
PSO,74.484
PSO,35.055
PSO,78.622
PSO,32.803
