Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,17975.0
PSO_S1-STD,PSO,S1,STD,S,17970.0
PSO_S1-STD,PSO,S1,STD,S,17975.0
PSO_S1-STD,PSO,S1,STD,S,17979.0
PSO_S1-STD,PSO,S1,STD,S,17942.0
PSO_S1-STD,PSO,S1,STD,S,17987.0
PSO_S1-STD,PSO,S1,STD,S,17996.0
PSO_S1-STD,PSO,S1,STD,S,17971.0
PSO_S1-STD,PSO,S1,STD,S,17912.0
PSO_S1-STD,PSO,S1,STD,S,17993.0
PSO_S1-STD,PSO,S1,STD,S,17981.0
PSO_S1-STD,PSO,S1,STD,S,17942.0
PSO_S1-STD,PSO,S1,STD,S,17986.0
PSO_S1-STD,PSO,S1,STD,S,17976.0
PSO_S1-STD,PSO,S1,STD,S,17944.0
PSO_S1-STD,PSO,S1,STD,S,17964.0
PSO_S1-STD,PSO,S1,STD,S,18010.0
PSO_S1-STD,PSO,S1,STD,S,17931.0
PSO_S1-STD,PSO,S1,STD,S,18001.0
PSO_S1-STD,PSO,S1,STD,S,17983.0
PSO_S1-STD,PSO,S1,STD,S,17969.0
PSO_S1-STD,PSO,S1,STD,S,17986.0
PSO_S1-STD,PSO,S1,STD,S,17991.0
PSO_S1-STD,PSO,S1,STD,S,17951.0
PSO_S1-STD,PSO,S1,STD,S,17984.0
PSO_S1-STD,PSO,S1,STD,S,17979.0
PSO_S1-STD,PSO,S1,STD,S,17988.0
PSO_S1-STD,PSO,S1,STD,S,17958.0
PSO_S1-STD,PSO,S1,STD,S,17978.0
PSO_S1-STD,PSO,S1,STD,S,17957.0
PSO_S1-STD,PSO,S1,STD,S,17950.0
PSO_S2-STD,PSO,S2,STD,S,17735.0
PSO_S2-STD,PSO,S2,STD,S,17723.0
PSO_S2-STD,PSO,S2,STD,S,17692.0
PSO_S2-STD,PSO,S2,STD,S,17698.0
PSO_S2-STD,PSO,S2,STD,S,17660.0
PSO_S2-STD,PSO,S2,STD,S,17632.0
PSO_S2-STD,PSO,S2,STD,S,17681.0
PSO_S2-STD,PSO,S2,STD,S,17543.0
PSO_S2-STD,PSO,S2,STD,S,17686.0
PSO_S2-STD,PSO,S2,STD,S,17674.0
PSO_S2-STD,PSO,S2,STD,S,17609.0
PSO_S2-STD,PSO,S2,STD,S,17711.0
PSO_S2-STD,PSO,S2,STD,S,17668.0
PSO_S2-STD,PSO,S2,STD,S,17662.0
PSO_S2-STD,PSO,S2,STD,S,17655.0
PSO_S2-STD,PSO,S2,STD,S,17746.0
PSO_S2-STD,PSO,S2,STD,S,17806.0
PSO_S2-STD,PSO,S2,STD,S,17685.0
PSO_S2-STD,PSO,S2,STD,S,17673.0
PSO_S2-STD,PSO,S2,STD,S,17720.0
PSO_S2-STD,PSO,S2,STD,S,17721.0
PSO_S2-STD,PSO,S2,STD,S,17668.0
PSO_S2-STD,PSO,S2,STD,S,17597.0
PSO_S2-STD,PSO,S2,STD,S,17779.0
PSO_S2-STD,PSO,S2,STD,S,17672.0
PSO_S2-STD,PSO,S2,STD,S,17799.0
PSO_S2-STD,PSO,S2,STD,S,17727.0
PSO_S2-STD,PSO,S2,STD,S,17687.0
PSO_S2-STD,PSO,S2,STD,S,17647.0
PSO_S2-STD,PSO,S2,STD,S,17753.0
PSO_S2-STD,PSO,S2,STD,S,17748.0
