Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,519919.0
PSO_S1-STD,PSO,S1,STD,S,525759.0
PSO_S1-STD,PSO,S1,STD,S,523487.0
PSO_S1-STD,PSO,S1,STD,S,523393.0
PSO_S1-STD,PSO,S1,STD,S,522015.0
PSO_S1-STD,PSO,S1,STD,S,522415.0
PSO_S1-STD,PSO,S1,STD,S,521971.0
PSO_S1-STD,PSO,S1,STD,S,526317.0
PSO_S1-STD,PSO,S1,STD,S,519794.0
PSO_S1-STD,PSO,S1,STD,S,521301.0
PSO_S1-STD,PSO,S1,STD,S,523418.0
PSO_S1-STD,PSO,S1,STD,S,523485.0
PSO_S1-STD,PSO,S1,STD,S,523027.0
PSO_S1-STD,PSO,S1,STD,S,522015.0
PSO_S1-STD,PSO,S1,STD,S,532491.0
PSO_S1-STD,PSO,S1,STD,S,524252.0
PSO_S1-STD,PSO,S1,STD,S,525985.0
PSO_S1-STD,PSO,S1,STD,S,521304.0
PSO_S1-STD,PSO,S1,STD,S,519437.0
PSO_S1-STD,PSO,S1,STD,S,521321.0
PSO_S1-STD,PSO,S1,STD,S,524980.0
PSO_S1-STD,PSO,S1,STD,S,523374.0
PSO_S1-STD,PSO,S1,STD,S,522701.0
PSO_S1-STD,PSO,S1,STD,S,524396.0
PSO_S1-STD,PSO,S1,STD,S,518190.0
PSO_S1-STD,PSO,S1,STD,S,520796.0
PSO_S1-STD,PSO,S1,STD,S,520250.0
PSO_S1-STD,PSO,S1,STD,S,525192.0
PSO_S1-STD,PSO,S1,STD,S,524749.0
PSO_S1-STD,PSO,S1,STD,S,524169.0
PSO_S1-STD,PSO,S1,STD,S,525981.0
PSO_S2-STD,PSO,S2,STD,S,484502.0
PSO_S2-STD,PSO,S2,STD,S,481892.0
PSO_S2-STD,PSO,S2,STD,S,487382.0
PSO_S2-STD,PSO,S2,STD,S,485000.0
PSO_S2-STD,PSO,S2,STD,S,480196.0
PSO_S2-STD,PSO,S2,STD,S,479585.0
PSO_S2-STD,PSO,S2,STD,S,486084.0
PSO_S2-STD,PSO,S2,STD,S,483145.0
PSO_S2-STD,PSO,S2,STD,S,479975.0
PSO_S2-STD,PSO,S2,STD,S,480843.0
PSO_S2-STD,PSO,S2,STD,S,480280.0
PSO_S2-STD,PSO,S2,STD,S,485558.0
PSO_S2-STD,PSO,S2,STD,S,483242.0
PSO_S2-STD,PSO,S2,STD,S,486455.0
PSO_S2-STD,PSO,S2,STD,S,484102.0
PSO_S2-STD,PSO,S2,STD,S,479205.0
PSO_S2-STD,PSO,S2,STD,S,485314.0
PSO_S2-STD,PSO,S2,STD,S,484728.0
PSO_S2-STD,PSO,S2,STD,S,481139.0
PSO_S2-STD,PSO,S2,STD,S,479795.0
PSO_S2-STD,PSO,S2,STD,S,485159.0
PSO_S2-STD,PSO,S2,STD,S,482062.0
PSO_S2-STD,PSO,S2,STD,S,484248.0
PSO_S2-STD,PSO,S2,STD,S,483240.0
PSO_S2-STD,PSO,S2,STD,S,479521.0
PSO_S2-STD,PSO,S2,STD,S,481441.0
PSO_S2-STD,PSO,S2,STD,S,486627.0
PSO_S2-STD,PSO,S2,STD,S,481197.0
PSO_S2-STD,PSO,S2,STD,S,486472.0
PSO_S2-STD,PSO,S2,STD,S,484444.0
PSO_S2-STD,PSO,S2,STD,S,481838.0
PSO_S3-STD,PSO,S3,STD,S,461119.0
PSO_S3-STD,PSO,S3,STD,S,464999.0
PSO_S3-STD,PSO,S3,STD,S,462503.0
PSO_S3-STD,PSO,S3,STD,S,462177.0
PSO_S3-STD,PSO,S3,STD,S,460458.0
PSO_S3-STD,PSO,S3,STD,S,463810.0
PSO_S3-STD,PSO,S3,STD,S,464441.0
PSO_S3-STD,PSO,S3,STD,S,464827.0
PSO_S3-STD,PSO,S3,STD,S,460144.0
PSO_S3-STD,PSO,S3,STD,S,459071.0
PSO_S3-STD,PSO,S3,STD,S,462034.0
PSO_S3-STD,PSO,S3,STD,S,460962.0
PSO_S3-STD,PSO,S3,STD,S,460669.0
PSO_S3-STD,PSO,S3,STD,S,465807.0
PSO_S3-STD,PSO,S3,STD,S,464514.0
PSO_S3-STD,PSO,S3,STD,S,461757.0
PSO_S3-STD,PSO,S3,STD,S,459775.0
PSO_S3-STD,PSO,S3,STD,S,464430.0
PSO_S3-STD,PSO,S3,STD,S,460389.0
PSO_S3-STD,PSO,S3,STD,S,463311.0
PSO_S3-STD,PSO,S3,STD,S,461240.0
PSO_S3-STD,PSO,S3,STD,S,466361.0
PSO_S3-STD,PSO,S3,STD,S,465573.0
PSO_S3-STD,PSO,S3,STD,S,460912.0
PSO_S3-STD,PSO,S3,STD,S,462208.0
PSO_S3-STD,PSO,S3,STD,S,466187.0
PSO_S3-STD,PSO,S3,STD,S,463106.0
PSO_S3-STD,PSO,S3,STD,S,458869.0
PSO_S3-STD,PSO,S3,STD,S,470235.0
PSO_S3-STD,PSO,S3,STD,S,459926.0
PSO_S3-STD,PSO,S3,STD,S,457629.0
PSO_S4-STD,PSO,S4,STD,S,456060.0
PSO_S4-STD,PSO,S4,STD,S,455968.0
PSO_S4-STD,PSO,S4,STD,S,456456.0
PSO_S4-STD,PSO,S4,STD,S,453203.0
PSO_S4-STD,PSO,S4,STD,S,454925.0
PSO_S4-STD,PSO,S4,STD,S,459908.0
PSO_S4-STD,PSO,S4,STD,S,457295.0
PSO_S4-STD,PSO,S4,STD,S,457318.0
PSO_S4-STD,PSO,S4,STD,S,457816.0
