Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4559.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4557.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4554.0
PSO_S1-STD,PSO,S1,STD,S,4554.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4554.0
PSO_S1-STD,PSO,S1,STD,S,4559.0
PSO_S1-STD,PSO,S1,STD,S,4554.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4554.0
PSO_S1-STD,PSO,S1,STD,S,4559.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4559.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4559.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S1-STD,PSO,S1,STD,S,4566.0
PSO_S2-STD,PSO,S2,STD,S,4566.0
PSO_S2-STD,PSO,S2,STD,S,4554.0
PSO_S2-STD,PSO,S2,STD,S,4556.0
PSO_S2-STD,PSO,S2,STD,S,4556.0
PSO_S2-STD,PSO,S2,STD,S,4557.0
PSO_S2-STD,PSO,S2,STD,S,4566.0
PSO_S2-STD,PSO,S2,STD,S,4554.0
PSO_S2-STD,PSO,S2,STD,S,4559.0
PSO_S2-STD,PSO,S2,STD,S,4555.0
PSO_S2-STD,PSO,S2,STD,S,4566.0
PSO_S2-STD,PSO,S2,STD,S,4556.0
PSO_S2-STD,PSO,S2,STD,S,4554.0
PSO_S2-STD,PSO,S2,STD,S,4555.0
PSO_S2-STD,PSO,S2,STD,S,4559.0
PSO_S2-STD,PSO,S2,STD,S,4557.0
PSO_S2-STD,PSO,S2,STD,S,4559.0
PSO_S2-STD,PSO,S2,STD,S,4554.0
PSO_S2-STD,PSO,S2,STD,S,4566.0
PSO_S2-STD,PSO,S2,STD,S,4566.0
PSO_S2-STD,PSO,S2,STD,S,4566.0
PSO_S2-STD,PSO,S2,STD,S,4555.0
PSO_S2-STD,PSO,S2,STD,S,4566.0
PSO_S2-STD,PSO,S2,STD,S,4554.0
PSO_S2-STD,PSO,S2,STD,S,4553.0
PSO_S2-STD,PSO,S2,STD,S,4555.0
PSO_S2-STD,PSO,S2,STD,S,4554.0
PSO_S2-STD,PSO,S2,STD,S,4566.0
PSO_S2-STD,PSO,S2,STD,S,4566.0
PSO_S2-STD,PSO,S2,STD,S,4557.0
PSO_S2-STD,PSO,S2,STD,S,4566.0
PSO_S2-STD,PSO,S2,STD,S,4554.0
PSO_S3-STD,PSO,S3,STD,S,4548.0
PSO_S3-STD,PSO,S3,STD,S,4551.0
PSO_S3-STD,PSO,S3,STD,S,4557.0
PSO_S3-STD,PSO,S3,STD,S,4551.0
PSO_S3-STD,PSO,S3,STD,S,4528.0
PSO_S3-STD,PSO,S3,STD,S,4557.0
PSO_S3-STD,PSO,S3,STD,S,4551.0
PSO_S3-STD,PSO,S3,STD,S,4555.0
PSO_S3-STD,PSO,S3,STD,S,4551.0
PSO_S3-STD,PSO,S3,STD,S,4551.0
