Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,54363.0
PSO_S1-STD,PSO,S1,STD,S,54321.0
PSO_S1-STD,PSO,S1,STD,S,54403.0
PSO_S1-STD,PSO,S1,STD,S,54384.0
PSO_S1-STD,PSO,S1,STD,S,54312.0
PSO_S1-STD,PSO,S1,STD,S,54222.0
PSO_S1-STD,PSO,S1,STD,S,54359.0
PSO_S1-STD,PSO,S1,STD,S,54267.0
PSO_S1-STD,PSO,S1,STD,S,54282.0
PSO_S1-STD,PSO,S1,STD,S,54428.0
PSO_S1-STD,PSO,S1,STD,S,54503.0
PSO_S1-STD,PSO,S1,STD,S,54431.0
PSO_S1-STD,PSO,S1,STD,S,54441.0
PSO_S1-STD,PSO,S1,STD,S,54403.0
PSO_S1-STD,PSO,S1,STD,S,54303.0
PSO_S1-STD,PSO,S1,STD,S,54378.0
PSO_S1-STD,PSO,S1,STD,S,54441.0
PSO_S1-STD,PSO,S1,STD,S,54269.0
PSO_S1-STD,PSO,S1,STD,S,54380.0
PSO_S1-STD,PSO,S1,STD,S,54358.0
PSO_S1-STD,PSO,S1,STD,S,54355.0
PSO_S1-STD,PSO,S1,STD,S,54363.0
PSO_S1-STD,PSO,S1,STD,S,54503.0
PSO_S1-STD,PSO,S1,STD,S,54460.0
PSO_S1-STD,PSO,S1,STD,S,54282.0
PSO_S1-STD,PSO,S1,STD,S,54403.0
PSO_S1-STD,PSO,S1,STD,S,54422.0
PSO_S1-STD,PSO,S1,STD,S,54383.0
PSO_S1-STD,PSO,S1,STD,S,54382.0
PSO_S1-STD,PSO,S1,STD,S,54413.0
PSO_S1-STD,PSO,S1,STD,S,54367.0
PSO_S2-STD,PSO,S2,STD,S,52899.0
PSO_S2-STD,PSO,S2,STD,S,53564.0
PSO_S2-STD,PSO,S2,STD,S,52726.0
PSO_S2-STD,PSO,S2,STD,S,53591.0
PSO_S2-STD,PSO,S2,STD,S,52623.0
PSO_S2-STD,PSO,S2,STD,S,52613.0
PSO_S2-STD,PSO,S2,STD,S,52919.0
PSO_S2-STD,PSO,S2,STD,S,53491.0
PSO_S2-STD,PSO,S2,STD,S,52907.0
PSO_S2-STD,PSO,S2,STD,S,52946.0
PSO_S2-STD,PSO,S2,STD,S,53550.0
PSO_S2-STD,PSO,S2,STD,S,53607.0
