Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,139018.0
PSO_S1-STD,PSO,S1,STD,S,139705.0
PSO_S1-STD,PSO,S1,STD,S,139510.0
PSO_S1-STD,PSO,S1,STD,S,138809.0
PSO_S1-STD,PSO,S1,STD,S,139616.0
PSO_S1-STD,PSO,S1,STD,S,138819.0
PSO_S1-STD,PSO,S1,STD,S,139115.0
PSO_S1-STD,PSO,S1,STD,S,139515.0
PSO_S1-STD,PSO,S1,STD,S,139418.0
PSO_S1-STD,PSO,S1,STD,S,139814.0
PSO_S1-STD,PSO,S1,STD,S,139717.0
PSO_S1-STD,PSO,S1,STD,S,139019.0
PSO_S1-STD,PSO,S1,STD,S,139619.0
PSO_S1-STD,PSO,S1,STD,S,139206.0
PSO_S1-STD,PSO,S1,STD,S,139614.0
PSO_S1-STD,PSO,S1,STD,S,138917.0
PSO_S1-STD,PSO,S1,STD,S,139919.0
PSO_S1-STD,PSO,S1,STD,S,139214.0
PSO_S1-STD,PSO,S1,STD,S,138907.0
PSO_S1-STD,PSO,S1,STD,S,139711.0
PSO_S1-STD,PSO,S1,STD,S,138714.0
PSO_S1-STD,PSO,S1,STD,S,139905.0
PSO_S1-STD,PSO,S1,STD,S,139412.0
PSO_S1-STD,PSO,S1,STD,S,138416.0
PSO_S1-STD,PSO,S1,STD,S,139116.0
PSO_S1-STD,PSO,S1,STD,S,139416.0
PSO_S1-STD,PSO,S1,STD,S,138918.0
PSO_S1-STD,PSO,S1,STD,S,139609.0
PSO_S1-STD,PSO,S1,STD,S,139119.0
PSO_S1-STD,PSO,S1,STD,S,140215.0
PSO_S1-STD,PSO,S1,STD,S,139617.0
PSO_S2-STD,PSO,S2,STD,S,133017.0
PSO_S2-STD,PSO,S2,STD,S,132218.0
PSO_S2-STD,PSO,S2,STD,S,131813.0
PSO_S2-STD,PSO,S2,STD,S,132716.0
PSO_S2-STD,PSO,S2,STD,S,133013.0
PSO_S2-STD,PSO,S2,STD,S,132016.0
PSO_S2-STD,PSO,S2,STD,S,131816.0
PSO_S2-STD,PSO,S2,STD,S,132413.0
PSO_S2-STD,PSO,S2,STD,S,133214.0
PSO_S2-STD,PSO,S2,STD,S,132211.0
PSO_S2-STD,PSO,S2,STD,S,131818.0
PSO_S2-STD,PSO,S2,STD,S,132412.0
PSO_S2-STD,PSO,S2,STD,S,132119.0
PSO_S2-STD,PSO,S2,STD,S,132910.0
PSO_S2-STD,PSO,S2,STD,S,132619.0
PSO_S2-STD,PSO,S2,STD,S,132019.0
PSO_S2-STD,PSO,S2,STD,S,132609.0
PSO_S2-STD,PSO,S2,STD,S,132013.0
PSO_S2-STD,PSO,S2,STD,S,131810.0
PSO_S2-STD,PSO,S2,STD,S,132519.0
PSO_S2-STD,PSO,S2,STD,S,131919.0
PSO_S2-STD,PSO,S2,STD,S,132518.0
PSO_S2-STD,PSO,S2,STD,S,131919.0
PSO_S2-STD,PSO,S2,STD,S,132819.0
PSO_S2-STD,PSO,S2,STD,S,132115.0
PSO_S2-STD,PSO,S2,STD,S,132213.0
PSO_S2-STD,PSO,S2,STD,S,132512.0
PSO_S2-STD,PSO,S2,STD,S,132115.0
PSO_S2-STD,PSO,S2,STD,S,132617.0
PSO_S2-STD,PSO,S2,STD,S,132115.0
PSO_S2-STD,PSO,S2,STD,S,132210.0
PSO_S3-STD,PSO,S3,STD,S,128914.0
PSO_S3-STD,PSO,S3,STD,S,128513.0
PSO_S3-STD,PSO,S3,STD,S,128817.0
PSO_S3-STD,PSO,S3,STD,S,129215.0
PSO_S3-STD,PSO,S3,STD,S,129214.0
PSO_S3-STD,PSO,S3,STD,S,128819.0
PSO_S3-STD,PSO,S3,STD,S,129719.0
PSO_S3-STD,PSO,S3,STD,S,128413.0
PSO_S3-STD,PSO,S3,STD,S,128716.0
PSO_S3-STD,PSO,S3,STD,S,128915.0
PSO_S3-STD,PSO,S3,STD,S,128814.0
PSO_S3-STD,PSO,S3,STD,S,128719.0
PSO_S3-STD,PSO,S3,STD,S,128915.0
PSO_S3-STD,PSO,S3,STD,S,128319.0
PSO_S3-STD,PSO,S3,STD,S,128814.0
PSO_S3-STD,PSO,S3,STD,S,128718.0
PSO_S3-STD,PSO,S3,STD,S,129015.0
PSO_S3-STD,PSO,S3,STD,S,128816.0
PSO_S3-STD,PSO,S3,STD,S,128913.0
PSO_S3-STD,PSO,S3,STD,S,128816.0
PSO_S3-STD,PSO,S3,STD,S,128614.0
PSO_S3-STD,PSO,S3,STD,S,128618.0
PSO_S3-STD,PSO,S3,STD,S,128816.0
PSO_S3-STD,PSO,S3,STD,S,128417.0
PSO_S3-STD,PSO,S3,STD,S,128211.0
PSO_S3-STD,PSO,S3,STD,S,129312.0
PSO_S3-STD,PSO,S3,STD,S,128418.0
PSO_S3-STD,PSO,S3,STD,S,129018.0
PSO_S3-STD,PSO,S3,STD,S,129019.0
PSO_S3-STD,PSO,S3,STD,S,128519.0
PSO_S3-STD,PSO,S3,STD,S,129812.0
PSO_S4-STD,PSO,S4,STD,S,127116.0
PSO_S4-STD,PSO,S4,STD,S,127516.0
PSO_S4-STD,PSO,S4,STD,S,127715.0
PSO_S4-STD,PSO,S4,STD,S,128116.0
PSO_S4-STD,PSO,S4,STD,S,127516.0
PSO_S4-STD,PSO,S4,STD,S,127013.0
PSO_S4-STD,PSO,S4,STD,S,127413.0
PSO_S4-STD,PSO,S4,STD,S,127318.0
PSO_S4-STD,PSO,S4,STD,S,127819.0
PSO_S4-STD,PSO,S4,STD,S,128216.0
PSO_S4-STD,PSO,S4,STD,S,127414.0
PSO_S4-STD,PSO,S4,STD,S,128111.0
PSO_S4-STD,PSO,S4,STD,S,127415.0
PSO_S4-STD,PSO,S4,STD,S,127615.0
PSO_S4-STD,PSO,S4,STD,S,127715.0
PSO_S4-STD,PSO,S4,STD,S,127514.0
PSO_S4-STD,PSO,S4,STD,S,127417.0
PSO_S4-STD,PSO,S4,STD,S,127815.0
PSO_S4-STD,PSO,S4,STD,S,127419.0
PSO_S4-STD,PSO,S4,STD,S,127317.0
PSO_S4-STD,PSO,S4,STD,S,127616.0
PSO_S4-STD,PSO,S4,STD,S,127418.0
PSO_S4-STD,PSO,S4,STD,S,128019.0
PSO_S4-STD,PSO,S4,STD,S,127419.0
PSO_S4-STD,PSO,S4,STD,S,127719.0
PSO_S4-STD,PSO,S4,STD,S,127419.0
PSO_S4-STD,PSO,S4,STD,S,127617.0
PSO_S4-STD,PSO,S4,STD,S,127614.0
PSO_S4-STD,PSO,S4,STD,S,127413.0
PSO_S4-STD,PSO,S4,STD,S,127617.0
PSO_S4-STD,PSO,S4,STD,S,127318.0
PSO_S1-COM,PSO,S1,COM,S,142417.0
PSO_S1-COM,PSO,S1,COM,S,142316.0
PSO_S1-COM,PSO,S1,COM,S,140917.0
PSO_S1-COM,PSO,S1,COM,S,141317.0
PSO_S1-COM,PSO,S1,COM,S,139719.0
PSO_S1-COM,PSO,S1,COM,S,141013.0
PSO_S1-COM,PSO,S1,COM,S,140518.0
PSO_S1-COM,PSO,S1,COM,S,140417.0
PSO_S1-COM,PSO,S1,COM,S,143219.0
PSO_S1-COM,PSO,S1,COM,S,140016.0
PSO_S1-COM,PSO,S1,COM,S,140714.0
PSO_S1-COM,PSO,S1,COM,S,138715.0
PSO_S1-COM,PSO,S1,COM,S,142616.0
PSO_S1-COM,PSO,S1,COM,S,141618.0
PSO_S1-COM,PSO,S1,COM,S,141118.0
PSO_S1-COM,PSO,S1,COM,S,141417.0
PSO_S1-COM,PSO,S1,COM,S,140419.0
PSO_S1-COM,PSO,S1,COM,S,139613.0
PSO_S1-COM,PSO,S1,COM,S,142115.0
PSO_S1-COM,PSO,S1,COM,S,140114.0
PSO_S1-COM,PSO,S1,COM,S,143318.0
PSO_S1-COM,PSO,S1,COM,S,141315.0
PSO_S1-COM,PSO,S1,COM,S,141018.0
PSO_S1-COM,PSO,S1,COM,S,142115.0
PSO_S1-COM,PSO,S1,COM,S,140017.0
PSO_S1-COM,PSO,S1,COM,S,142019.0
PSO_S1-COM,PSO,S1,COM,S,141115.0
PSO_S1-COM,PSO,S1,COM,S,140817.0
PSO_S1-COM,PSO,S1,COM,S,141715.0
PSO_S1-COM,PSO,S1,COM,S,139616.0
PSO_S1-COM,PSO,S1,COM,S,139719.0
PSO_S2-COM,PSO,S2,COM,S,136217.0
PSO_S2-COM,PSO,S2,COM,S,132619.0
PSO_S2-COM,PSO,S2,COM,S,137010.0
PSO_S2-COM,PSO,S2,COM,S,132815.0
PSO_S2-COM,PSO,S2,COM,S,121917.0
