Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,69604.0
PSO_S1-STD,PSO,S1,STD,S,69599.0
PSO_S1-STD,PSO,S1,STD,S,70100.0
PSO_S1-STD,PSO,S1,STD,S,69897.0
PSO_S1-STD,PSO,S1,STD,S,69695.0
PSO_S1-STD,PSO,S1,STD,S,69788.0
PSO_S1-STD,PSO,S1,STD,S,69705.0
PSO_S1-STD,PSO,S1,STD,S,70000.0
PSO_S1-STD,PSO,S1,STD,S,69791.0
PSO_S1-STD,PSO,S1,STD,S,69802.0
PSO_S1-STD,PSO,S1,STD,S,69799.0
PSO_S1-STD,PSO,S1,STD,S,69696.0
PSO_S1-STD,PSO,S1,STD,S,69802.0
PSO_S1-STD,PSO,S1,STD,S,69800.0
PSO_S1-STD,PSO,S1,STD,S,69699.0
PSO_S1-STD,PSO,S1,STD,S,69694.0
PSO_S1-STD,PSO,S1,STD,S,69792.0
PSO_S1-STD,PSO,S1,STD,S,69705.0
PSO_S1-STD,PSO,S1,STD,S,69804.0
PSO_S1-STD,PSO,S1,STD,S,69700.0
PSO_S1-STD,PSO,S1,STD,S,69788.0
PSO_S1-STD,PSO,S1,STD,S,69698.0
PSO_S1-STD,PSO,S1,STD,S,69505.0
PSO_S1-STD,PSO,S1,STD,S,70104.0
PSO_S1-STD,PSO,S1,STD,S,69799.0
PSO_S1-STD,PSO,S1,STD,S,69705.0
PSO_S1-STD,PSO,S1,STD,S,69705.0
PSO_S1-STD,PSO,S1,STD,S,69903.0
PSO_S1-STD,PSO,S1,STD,S,69705.0
PSO_S1-STD,PSO,S1,STD,S,69797.0
PSO_S1-STD,PSO,S1,STD,S,69689.0
PSO_S2-STD,PSO,S2,STD,S,66999.0
PSO_S2-STD,PSO,S2,STD,S,66691.0
PSO_S2-STD,PSO,S2,STD,S,66300.0
PSO_S2-STD,PSO,S2,STD,S,66590.0
PSO_S2-STD,PSO,S2,STD,S,66602.0
PSO_S2-STD,PSO,S2,STD,S,66295.0
PSO_S2-STD,PSO,S2,STD,S,66998.0
PSO_S2-STD,PSO,S2,STD,S,66491.0
PSO_S2-STD,PSO,S2,STD,S,66400.0
PSO_S2-STD,PSO,S2,STD,S,66404.0
PSO_S2-STD,PSO,S2,STD,S,66596.0
PSO_S2-STD,PSO,S2,STD,S,66502.0
PSO_S2-STD,PSO,S2,STD,S,66303.0
PSO_S2-STD,PSO,S2,STD,S,66805.0
PSO_S2-STD,PSO,S2,STD,S,66695.0
PSO_S2-STD,PSO,S2,STD,S,66600.0
PSO_S2-STD,PSO,S2,STD,S,66604.0
PSO_S2-STD,PSO,S2,STD,S,66596.0
PSO_S2-STD,PSO,S2,STD,S,66400.0
PSO_S2-STD,PSO,S2,STD,S,66696.0
PSO_S2-STD,PSO,S2,STD,S,66498.0
PSO_S2-STD,PSO,S2,STD,S,66696.0
PSO_S2-STD,PSO,S2,STD,S,66600.0
PSO_S2-STD,PSO,S2,STD,S,66202.0
PSO_S2-STD,PSO,S2,STD,S,66592.0
PSO_S2-STD,PSO,S2,STD,S,66892.0
PSO_S2-STD,PSO,S2,STD,S,66491.0
PSO_S2-STD,PSO,S2,STD,S,66794.0
PSO_S2-STD,PSO,S2,STD,S,66800.0
PSO_S2-STD,PSO,S2,STD,S,67191.0
PSO_S2-STD,PSO,S2,STD,S,66194.0
PSO_S3-STD,PSO,S3,STD,S,64498.0
PSO_S3-STD,PSO,S3,STD,S,64903.0
PSO_S3-STD,PSO,S3,STD,S,64795.0
PSO_S3-STD,PSO,S3,STD,S,64905.0
PSO_S3-STD,PSO,S3,STD,S,65095.0
PSO_S3-STD,PSO,S3,STD,S,65000.0
PSO_S3-STD,PSO,S3,STD,S,65100.0
PSO_S3-STD,PSO,S3,STD,S,64998.0
PSO_S3-STD,PSO,S3,STD,S,64702.0
PSO_S3-STD,PSO,S3,STD,S,65101.0
PSO_S3-STD,PSO,S3,STD,S,65205.0
PSO_S3-STD,PSO,S3,STD,S,64805.0
PSO_S3-STD,PSO,S3,STD,S,64891.0
PSO_S3-STD,PSO,S3,STD,S,65004.0
PSO_S3-STD,PSO,S3,STD,S,65399.0
PSO_S3-STD,PSO,S3,STD,S,64894.0
PSO_S3-STD,PSO,S3,STD,S,65797.0
PSO_S3-STD,PSO,S3,STD,S,65303.0
PSO_S3-STD,PSO,S3,STD,S,64701.0
PSO_S3-STD,PSO,S3,STD,S,65093.0
PSO_S3-STD,PSO,S3,STD,S,65097.0
PSO_S3-STD,PSO,S3,STD,S,64804.0
PSO_S3-STD,PSO,S3,STD,S,64798.0
PSO_S3-STD,PSO,S3,STD,S,64897.0
PSO_S3-STD,PSO,S3,STD,S,64599.0
PSO_S3-STD,PSO,S3,STD,S,64705.0
PSO_S3-STD,PSO,S3,STD,S,65101.0
PSO_S3-STD,PSO,S3,STD,S,64998.0
PSO_S3-STD,PSO,S3,STD,S,64799.0
PSO_S3-STD,PSO,S3,STD,S,64805.0
PSO_S3-STD,PSO,S3,STD,S,64705.0
PSO_S4-STD,PSO,S4,STD,S,64403.0
PSO_S4-STD,PSO,S4,STD,S,64097.0
PSO_S4-STD,PSO,S4,STD,S,64105.0
PSO_S4-STD,PSO,S4,STD,S,64794.0
PSO_S4-STD,PSO,S4,STD,S,64201.0
PSO_S4-STD,PSO,S4,STD,S,64000.0
PSO_S4-STD,PSO,S4,STD,S,64405.0
PSO_S4-STD,PSO,S4,STD,S,64501.0
PSO_S4-STD,PSO,S4,STD,S,64704.0
