Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,87820.0
PSO_S1-STD,PSO,S1,STD,S,87512.0
PSO_S1-STD,PSO,S1,STD,S,87547.0
PSO_S1-STD,PSO,S1,STD,S,87669.0
PSO_S1-STD,PSO,S1,STD,S,87843.0
PSO_S1-STD,PSO,S1,STD,S,87611.0
PSO_S1-STD,PSO,S1,STD,S,87390.0
PSO_S1-STD,PSO,S1,STD,S,87867.0
PSO_S1-STD,PSO,S1,STD,S,87661.0
PSO_S1-STD,PSO,S1,STD,S,87640.0
PSO_S1-STD,PSO,S1,STD,S,87350.0
PSO_S1-STD,PSO,S1,STD,S,87758.0
PSO_S1-STD,PSO,S1,STD,S,87782.0
PSO_S1-STD,PSO,S1,STD,S,87377.0
PSO_S1-STD,PSO,S1,STD,S,87637.0
PSO_S1-STD,PSO,S1,STD,S,87873.0
PSO_S1-STD,PSO,S1,STD,S,87841.0
PSO_S1-STD,PSO,S1,STD,S,87649.0
PSO_S1-STD,PSO,S1,STD,S,87624.0
PSO_S1-STD,PSO,S1,STD,S,87493.0
PSO_S1-STD,PSO,S1,STD,S,87481.0
PSO_S1-STD,PSO,S1,STD,S,87765.0
PSO_S1-STD,PSO,S1,STD,S,87617.0
PSO_S1-STD,PSO,S1,STD,S,87782.0
PSO_S1-STD,PSO,S1,STD,S,87585.0
PSO_S1-STD,PSO,S1,STD,S,87734.0
PSO_S1-STD,PSO,S1,STD,S,87900.0
PSO_S1-STD,PSO,S1,STD,S,87621.0
PSO_S1-STD,PSO,S1,STD,S,87539.0
PSO_S1-STD,PSO,S1,STD,S,87783.0
PSO_S1-STD,PSO,S1,STD,S,87541.0
PSO_S2-STD,PSO,S2,STD,S,85032.0
PSO_S2-STD,PSO,S2,STD,S,84862.0
PSO_S2-STD,PSO,S2,STD,S,85192.0
PSO_S2-STD,PSO,S2,STD,S,84873.0
PSO_S2-STD,PSO,S2,STD,S,84833.0
PSO_S2-STD,PSO,S2,STD,S,85097.0
PSO_S2-STD,PSO,S2,STD,S,85174.0
PSO_S2-STD,PSO,S2,STD,S,85108.0
PSO_S2-STD,PSO,S2,STD,S,85068.0
PSO_S2-STD,PSO,S2,STD,S,84943.0
PSO_S2-STD,PSO,S2,STD,S,85496.0
PSO_S2-STD,PSO,S2,STD,S,84922.0
PSO_S2-STD,PSO,S2,STD,S,85228.0
PSO_S2-STD,PSO,S2,STD,S,85091.0
PSO_S2-STD,PSO,S2,STD,S,84974.0
PSO_S2-STD,PSO,S2,STD,S,85111.0
PSO_S2-STD,PSO,S2,STD,S,85045.0
PSO_S2-STD,PSO,S2,STD,S,85281.0
PSO_S2-STD,PSO,S2,STD,S,85185.0
PSO_S2-STD,PSO,S2,STD,S,84877.0
PSO_S2-STD,PSO,S2,STD,S,85155.0
PSO_S2-STD,PSO,S2,STD,S,85296.0
PSO_S2-STD,PSO,S2,STD,S,84930.0
PSO_S2-STD,PSO,S2,STD,S,84907.0
PSO_S2-STD,PSO,S2,STD,S,85163.0
PSO_S2-STD,PSO,S2,STD,S,85024.0
PSO_S2-STD,PSO,S2,STD,S,85242.0
PSO_S2-STD,PSO,S2,STD,S,85041.0
PSO_S2-STD,PSO,S2,STD,S,85120.0
PSO_S2-STD,PSO,S2,STD,S,85185.0
PSO_S2-STD,PSO,S2,STD,S,85211.0
PSO_S3-STD,PSO,S3,STD,S,83754.0
PSO_S3-STD,PSO,S3,STD,S,83518.0
PSO_S3-STD,PSO,S3,STD,S,83761.0
PSO_S3-STD,PSO,S3,STD,S,83484.0
PSO_S3-STD,PSO,S3,STD,S,83565.0
PSO_S3-STD,PSO,S3,STD,S,83699.0
PSO_S3-STD,PSO,S3,STD,S,83910.0
PSO_S3-STD,PSO,S3,STD,S,84055.0
PSO_S3-STD,PSO,S3,STD,S,83876.0
PSO_S3-STD,PSO,S3,STD,S,83593.0
PSO_S3-STD,PSO,S3,STD,S,83789.0
PSO_S3-STD,PSO,S3,STD,S,84106.0
PSO_S3-STD,PSO,S3,STD,S,83630.0
PSO_S3-STD,PSO,S3,STD,S,83887.0
PSO_S3-STD,PSO,S3,STD,S,83508.0
PSO_S3-STD,PSO,S3,STD,S,83814.0
PSO_S3-STD,PSO,S3,STD,S,84189.0
PSO_S3-STD,PSO,S3,STD,S,84574.0
PSO_S3-STD,PSO,S3,STD,S,83454.0
PSO_S3-STD,PSO,S3,STD,S,83849.0
PSO_S3-STD,PSO,S3,STD,S,83455.0
PSO_S3-STD,PSO,S3,STD,S,83829.0
PSO_S3-STD,PSO,S3,STD,S,83757.0
PSO_S3-STD,PSO,S3,STD,S,83782.0
PSO_S3-STD,PSO,S3,STD,S,83744.0
PSO_S3-STD,PSO,S3,STD,S,83921.0
PSO_S3-STD,PSO,S3,STD,S,83565.0
PSO_S3-STD,PSO,S3,STD,S,83525.0
PSO_S3-STD,PSO,S3,STD,S,83941.0
PSO_S3-STD,PSO,S3,STD,S,83833.0
PSO_S3-STD,PSO,S3,STD,S,83356.0
PSO_S4-STD,PSO,S4,STD,S,83289.0
PSO_S4-STD,PSO,S4,STD,S,82992.0
PSO_S4-STD,PSO,S4,STD,S,83026.0
PSO_S4-STD,PSO,S4,STD,S,83054.0
PSO_S4-STD,PSO,S4,STD,S,83212.0
PSO_S4-STD,PSO,S4,STD,S,83048.0
PSO_S4-STD,PSO,S4,STD,S,83095.0
PSO_S4-STD,PSO,S4,STD,S,83726.0
PSO_S4-STD,PSO,S4,STD,S,82955.0
PSO_S4-STD,PSO,S4,STD,S,82930.0
PSO_S4-STD,PSO,S4,STD,S,83407.0
PSO_S4-STD,PSO,S4,STD,S,82737.0
PSO_S4-STD,PSO,S4,STD,S,83016.0
PSO_S4-STD,PSO,S4,STD,S,82874.0
PSO_S4-STD,PSO,S4,STD,S,83069.0
PSO_S4-STD,PSO,S4,STD,S,83132.0
PSO_S4-STD,PSO,S4,STD,S,82978.0
PSO_S4-STD,PSO,S4,STD,S,82907.0
PSO_S4-STD,PSO,S4,STD,S,83397.0
PSO_S4-STD,PSO,S4,STD,S,83632.0
PSO_S4-STD,PSO,S4,STD,S,83092.0
PSO_S4-STD,PSO,S4,STD,S,83401.0
PSO_S4-STD,PSO,S4,STD,S,82997.0
PSO_S4-STD,PSO,S4,STD,S,83292.0
PSO_S4-STD,PSO,S4,STD,S,83411.0
PSO_S4-STD,PSO,S4,STD,S,83080.0
PSO_S4-STD,PSO,S4,STD,S,83064.0
PSO_S4-STD,PSO,S4,STD,S,83707.0
PSO_S4-STD,PSO,S4,STD,S,83436.0
PSO_S4-STD,PSO,S4,STD,S,83160.0
PSO_S4-STD,PSO,S4,STD,S,83115.0
PSO_S1-COM,PSO,S1,COM,S,86722.0
PSO_S1-COM,PSO,S1,COM,S,88427.0
PSO_S1-COM,PSO,S1,COM,S,86752.0
PSO_S1-COM,PSO,S1,COM,S,88949.0
PSO_S1-COM,PSO,S1,COM,S,86558.0
PSO_S1-COM,PSO,S1,COM,S,87895.0
PSO_S1-COM,PSO,S1,COM,S,87146.0
PSO_S1-COM,PSO,S1,COM,S,87595.0
PSO_S1-COM,PSO,S1,COM,S,86843.0
PSO_S1-COM,PSO,S1,COM,S,88293.0
PSO_S1-COM,PSO,S1,COM,S,88135.0
PSO_S1-COM,PSO,S1,COM,S,88762.0
PSO_S1-COM,PSO,S1,COM,S,89278.0
PSO_S1-COM,PSO,S1,COM,S,88455.0
PSO_S1-COM,PSO,S1,COM,S,88102.0
PSO_S1-COM,PSO,S1,COM,S,87903.0
PSO_S1-COM,PSO,S1,COM,S,87890.0
PSO_S1-COM,PSO,S1,COM,S,87924.0
PSO_S1-COM,PSO,S1,COM,S,86907.0
PSO_S1-COM,PSO,S1,COM,S,88311.0
PSO_S1-COM,PSO,S1,COM,S,88013.0
PSO_S1-COM,PSO,S1,COM,S,88190.0
PSO_S1-COM,PSO,S1,COM,S,87918.0
PSO_S1-COM,PSO,S1,COM,S,87565.0
PSO_S1-COM,PSO,S1,COM,S,87492.0
PSO_S1-COM,PSO,S1,COM,S,89220.0
PSO_S1-COM,PSO,S1,COM,S,88116.0
PSO_S1-COM,PSO,S1,COM,S,87261.0
PSO_S1-COM,PSO,S1,COM,S,87674.0
PSO_S1-COM,PSO,S1,COM,S,88482.0
PSO_S1-COM,PSO,S1,COM,S,88323.0
PSO_S2-COM,PSO,S2,COM,S,84901.0
PSO_S2-COM,PSO,S2,COM,S,85415.0
PSO_S2-COM,PSO,S2,COM,S,83770.0
PSO_S2-COM,PSO,S2,COM,S,85685.0
PSO_S2-COM,PSO,S2,COM,S,86152.0
PSO_S2-COM,PSO,S2,COM,S,84253.0
PSO_S2-COM,PSO,S2,COM,S,83614.0
PSO_S2-COM,PSO,S2,COM,S,84521.0
PSO_S2-COM,PSO,S2,COM,S,84985.0
PSO_S2-COM,PSO,S2,COM,S,85517.0
PSO_S2-COM,PSO,S2,COM,S,86244.0
PSO_S2-COM,PSO,S2,COM,S,83507.0
PSO_S2-COM,PSO,S2,COM,S,85701.0
PSO_S2-COM,PSO,S2,COM,S,81384.0
PSO_S2-COM,PSO,S2,COM,S,80854.0
PSO_S2-COM,PSO,S2,COM,S,80659.0
PSO_S2-COM,PSO,S2,COM,S,85627.0
PSO_S2-COM,PSO,S2,COM,S,84432.0
PSO_S2-COM,PSO,S2,COM,S,83357.0
PSO_S2-COM,PSO,S2,COM,S,80528.0
PSO_S2-COM,PSO,S2,COM,S,85048.0
PSO_S2-COM,PSO,S2,COM,S,80987.0
PSO_S2-COM,PSO,S2,COM,S,84349.0
PSO_S2-COM,PSO,S2,COM,S,85745.0
PSO_S2-COM,PSO,S2,COM,S,84968.0
PSO_S2-COM,PSO,S2,COM,S,83252.0
PSO_S2-COM,PSO,S2,COM,S,86206.0
PSO_S2-COM,PSO,S2,COM,S,86129.0
PSO_S2-COM,PSO,S2,COM,S,85178.0
PSO_S2-COM,PSO,S2,COM,S,85516.0
PSO_S2-COM,PSO,S2,COM,S,84920.0
PSO_S3-COM,PSO,S3,COM,S,81179.0
PSO_S3-COM,PSO,S3,COM,S,80578.0
PSO_S3-COM,PSO,S3,COM,S,81333.0
PSO_S3-COM,PSO,S3,COM,S,80902.0
PSO_S3-COM,PSO,S3,COM,S,80798.0
PSO_S3-COM,PSO,S3,COM,S,80681.0
PSO_S3-COM,PSO,S3,COM,S,81023.0
PSO_S3-COM,PSO,S3,COM,S,81530.0
PSO_S3-COM,PSO,S3,COM,S,80502.0
PSO_S3-COM,PSO,S3,COM,S,80382.0
PSO_S3-COM,PSO,S3,COM,S,80662.0
PSO_S3-COM,PSO,S3,COM,S,80173.0
PSO_S3-COM,PSO,S3,COM,S,80811.0
PSO_S3-COM,PSO,S3,COM,S,81341.0
PSO_S3-COM,PSO,S3,COM,S,81174.0
PSO_S3-COM,PSO,S3,COM,S,80653.0
PSO_S3-COM,PSO,S3,COM,S,81609.0
PSO_S3-COM,PSO,S3,COM,S,81188.0
PSO_S3-COM,PSO,S3,COM,S,80558.0
PSO_S3-COM,PSO,S3,COM,S,80493.0
PSO_S3-COM,PSO,S3,COM,S,80809.0
PSO_S3-COM,PSO,S3,COM,S,80733.0
PSO_S3-COM,PSO,S3,COM,S,80651.0
PSO_S3-COM,PSO,S3,COM,S,81263.0
PSO_S3-COM,PSO,S3,COM,S,81235.0
PSO_S3-COM,PSO,S3,COM,S,81457.0
PSO_S3-COM,PSO,S3,COM,S,81231.0
PSO_S3-COM,PSO,S3,COM,S,80843.0
PSO_S3-COM,PSO,S3,COM,S,80874.0
PSO_S3-COM,PSO,S3,COM,S,80525.0
PSO_S3-COM,PSO,S3,COM,S,81091.0
PSO_S4-COM,PSO,S4,COM,S,81179.0
PSO_S4-COM,PSO,S4,COM,S,81070.0
PSO_S4-COM,PSO,S4,COM,S,81048.0
PSO_S4-COM,PSO,S4,COM,S,81088.0
PSO_S4-COM,PSO,S4,COM,S,80883.0
PSO_S4-COM,PSO,S4,COM,S,81661.0
PSO_S4-COM,PSO,S4,COM,S,80795.0
PSO_S4-COM,PSO,S4,COM,S,80548.0
PSO_S4-COM,PSO,S4,COM,S,80302.0
PSO_S4-COM,PSO,S4,COM,S,81381.0
PSO_S4-COM,PSO,S4,COM,S,81892.0
PSO_S4-COM,PSO,S4,COM,S,80449.0
PSO_S4-COM,PSO,S4,COM,S,81302.0
PSO_S4-COM,PSO,S4,COM,S,80398.0
PSO_S4-COM,PSO,S4,COM,S,81387.0
PSO_S4-COM,PSO,S4,COM,S,80537.0
PSO_S4-COM,PSO,S4,COM,S,81036.0
PSO_S4-COM,PSO,S4,COM,S,80443.0
PSO_S4-COM,PSO,S4,COM,S,80971.0
PSO_S4-COM,PSO,S4,COM,S,80570.0
PSO_S4-COM,PSO,S4,COM,S,80662.0
PSO_S4-COM,PSO,S4,COM,S,80544.0
PSO_S4-COM,PSO,S4,COM,S,80790.0
PSO_S4-COM,PSO,S4,COM,S,80253.0
PSO_S4-COM,PSO,S4,COM,S,80869.0
PSO_S4-COM,PSO,S4,COM,S,80254.0
PSO_S4-COM,PSO,S4,COM,S,81432.0
PSO_S4-COM,PSO,S4,COM,S,80577.0
PSO_S4-COM,PSO,S4,COM,S,80874.0
PSO_S4-COM,PSO,S4,COM,S,80815.0
PSO_S4-COM,PSO,S4,COM,S,80336.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80611.0
PSO_S1-ELIT,PSO,S1,ELIT,S,81299.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80849.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80456.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80543.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80994.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80404.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80943.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80919.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80237.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80698.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80666.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80861.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80515.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80129.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80313.0
PSO_S1-ELIT,PSO,S1,ELIT,S,81003.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80370.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80658.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80824.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80547.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80560.0
PSO_S1-ELIT,PSO,S1,ELIT,S,81117.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80590.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80095.0
PSO_S1-ELIT,PSO,S1,ELIT,S,81539.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80412.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80882.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80541.0
PSO_S1-ELIT,PSO,S1,ELIT,S,80827.0
PSO_S1-ELIT,PSO,S1,ELIT,S,81842.0
PSO_S2-ELIT,PSO,S2,ELIT,S,81254.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80569.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80604.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80886.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80847.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80299.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80594.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80520.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80511.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80772.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80925.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80821.0
PSO_S2-ELIT,PSO,S2,ELIT,S,81215.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80272.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80998.0
PSO_S2-ELIT,PSO,S2,ELIT,S,81578.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80571.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80937.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80813.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80464.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80479.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80712.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80695.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80584.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80548.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80784.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80558.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80829.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80198.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80569.0
PSO_S2-ELIT,PSO,S2,ELIT,S,80677.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80558.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80894.0
PSO_S3-ELIT,PSO,S3,ELIT,S,79960.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80864.0
PSO_S3-ELIT,PSO,S3,ELIT,S,81175.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80251.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80714.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80856.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80655.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80964.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80843.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80163.0
PSO_S3-ELIT,PSO,S3,ELIT,S,81228.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80741.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80510.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80779.0
PSO_S3-ELIT,PSO,S3,ELIT,S,79596.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80233.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80976.0
PSO_S3-ELIT,PSO,S3,ELIT,S,79984.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80772.0
PSO_S3-ELIT,PSO,S3,ELIT,S,81121.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80925.0
PSO_S3-ELIT,PSO,S3,ELIT,S,81263.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80519.0
PSO_S3-ELIT,PSO,S3,ELIT,S,81837.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80713.0
PSO_S3-ELIT,PSO,S3,ELIT,S,81284.0
PSO_S3-ELIT,PSO,S3,ELIT,S,80340.0
PSO_S3-ELIT,PSO,S3,ELIT,S,81046.0
PSO_S3-ELIT,PSO,S3,ELIT,S,81074.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80759.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80971.0
PSO_S4-ELIT,PSO,S4,ELIT,S,81304.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80782.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80575.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80541.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80976.0
PSO_S4-ELIT,PSO,S4,ELIT,S,81250.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80750.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80566.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80306.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80561.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80425.0
PSO_S4-ELIT,PSO,S4,ELIT,S,81233.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80509.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80690.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80970.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80593.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80676.0
PSO_S4-ELIT,PSO,S4,ELIT,S,81125.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80629.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80426.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80118.0
PSO_S4-ELIT,PSO,S4,ELIT,S,81008.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80834.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80922.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80582.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80661.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80773.0
PSO_S4-ELIT,PSO,S4,ELIT,S,80356.0
PSO_S4-ELIT,PSO,S4,ELIT,S,81091.0
PSO_V1-STD,PSO,V1,STD,V,80043.0
PSO_V1-STD,PSO,V1,STD,V,80761.0
PSO_V1-STD,PSO,V1,STD,V,80285.0
PSO_V1-STD,PSO,V1,STD,V,81438.0
PSO_V1-STD,PSO,V1,STD,V,80062.0
PSO_V1-STD,PSO,V1,STD,V,80961.0
PSO_V1-STD,PSO,V1,STD,V,80565.0
PSO_V1-STD,PSO,V1,STD,V,80488.0
PSO_V1-STD,PSO,V1,STD,V,80602.0
PSO_V1-STD,PSO,V1,STD,V,80108.0
PSO_V1-STD,PSO,V1,STD,V,81035.0
PSO_V1-STD,PSO,V1,STD,V,81163.0
PSO_V1-STD,PSO,V1,STD,V,80805.0
PSO_V1-STD,PSO,V1,STD,V,81053.0
PSO_V1-STD,PSO,V1,STD,V,81030.0
PSO_V1-STD,PSO,V1,STD,V,80381.0
PSO_V1-STD,PSO,V1,STD,V,80687.0
PSO_V1-STD,PSO,V1,STD,V,80585.0
PSO_V1-STD,PSO,V1,STD,V,81158.0
PSO_V1-STD,PSO,V1,STD,V,81124.0
PSO_V1-STD,PSO,V1,STD,V,80538.0
PSO_V1-STD,PSO,V1,STD,V,81109.0
PSO_V1-STD,PSO,V1,STD,V,81542.0
PSO_V1-STD,PSO,V1,STD,V,80533.0
PSO_V1-STD,PSO,V1,STD,V,81322.0
PSO_V1-STD,PSO,V1,STD,V,80632.0
PSO_V1-STD,PSO,V1,STD,V,80988.0
PSO_V1-STD,PSO,V1,STD,V,80929.0
PSO_V1-STD,PSO,V1,STD,V,80916.0
PSO_V1-STD,PSO,V1,STD,V,80731.0
PSO_V1-STD,PSO,V1,STD,V,80453.0
PSO_V2-STD,PSO,V2,STD,V,80484.0
PSO_V2-STD,PSO,V2,STD,V,81029.0
PSO_V2-STD,PSO,V2,STD,V,80842.0
PSO_V2-STD,PSO,V2,STD,V,81567.0
PSO_V2-STD,PSO,V2,STD,V,80980.0
PSO_V2-STD,PSO,V2,STD,V,80946.0
PSO_V2-STD,PSO,V2,STD,V,80911.0
PSO_V2-STD,PSO,V2,STD,V,81097.0
PSO_V2-STD,PSO,V2,STD,V,80555.0
PSO_V2-STD,PSO,V2,STD,V,80635.0
PSO_V2-STD,PSO,V2,STD,V,80446.0
PSO_V2-STD,PSO,V2,STD,V,80534.0
PSO_V2-STD,PSO,V2,STD,V,80213.0
PSO_V2-STD,PSO,V2,STD,V,80722.0
PSO_V2-STD,PSO,V2,STD,V,81418.0
PSO_V2-STD,PSO,V2,STD,V,81235.0
PSO_V2-STD,PSO,V2,STD,V,80616.0
PSO_V2-STD,PSO,V2,STD,V,80464.0
PSO_V2-STD,PSO,V2,STD,V,80490.0
PSO_V2-STD,PSO,V2,STD,V,80176.0
PSO_V2-STD,PSO,V2,STD,V,81703.0
PSO_V2-STD,PSO,V2,STD,V,80754.0
PSO_V2-STD,PSO,V2,STD,V,80641.0
PSO_V2-STD,PSO,V2,STD,V,81478.0
PSO_V2-STD,PSO,V2,STD,V,80883.0
PSO_V2-STD,PSO,V2,STD,V,80974.0
PSO_V2-STD,PSO,V2,STD,V,80612.0
PSO_V2-STD,PSO,V2,STD,V,81247.0
PSO_V2-STD,PSO,V2,STD,V,80432.0
PSO_V2-STD,PSO,V2,STD,V,80247.0
PSO_V2-STD,PSO,V2,STD,V,80661.0
PSO_V3-STD,PSO,V3,STD,V,80345.0
PSO_V3-STD,PSO,V3,STD,V,81090.0
PSO_V3-STD,PSO,V3,STD,V,80325.0
PSO_V3-STD,PSO,V3,STD,V,80737.0
PSO_V3-STD,PSO,V3,STD,V,80668.0
PSO_V3-STD,PSO,V3,STD,V,80580.0
PSO_V3-STD,PSO,V3,STD,V,81011.0
PSO_V3-STD,PSO,V3,STD,V,81136.0
PSO_V3-STD,PSO,V3,STD,V,80636.0
PSO_V3-STD,PSO,V3,STD,V,80529.0
PSO_V3-STD,PSO,V3,STD,V,80616.0
PSO_V3-STD,PSO,V3,STD,V,81002.0
PSO_V3-STD,PSO,V3,STD,V,80644.0
PSO_V3-STD,PSO,V3,STD,V,80582.0
