Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,261275.0
PSO_S1-STD,PSO,S1,STD,S,266399.0
PSO_S1-STD,PSO,S1,STD,S,261619.0
PSO_S1-STD,PSO,S1,STD,S,261017.0
PSO_S1-STD,PSO,S1,STD,S,264103.0
PSO_S1-STD,PSO,S1,STD,S,262154.0
PSO_S1-STD,PSO,S1,STD,S,263307.0
PSO_S1-STD,PSO,S1,STD,S,262244.0
PSO_S1-STD,PSO,S1,STD,S,261369.0
PSO_S1-STD,PSO,S1,STD,S,262085.0
PSO_S1-STD,PSO,S1,STD,S,262735.0
PSO_S1-STD,PSO,S1,STD,S,264359.0
PSO_S1-STD,PSO,S1,STD,S,263933.0
PSO_S1-STD,PSO,S1,STD,S,263463.0
PSO_S1-STD,PSO,S1,STD,S,264502.0
PSO_S1-STD,PSO,S1,STD,S,262974.0
PSO_S1-STD,PSO,S1,STD,S,262914.0
PSO_S1-STD,PSO,S1,STD,S,263070.0
PSO_S1-STD,PSO,S1,STD,S,261822.0
PSO_S1-STD,PSO,S1,STD,S,263027.0
PSO_S1-STD,PSO,S1,STD,S,263420.0
PSO_S1-STD,PSO,S1,STD,S,262298.0
PSO_S1-STD,PSO,S1,STD,S,264126.0
PSO_S1-STD,PSO,S1,STD,S,259788.0
PSO_S1-STD,PSO,S1,STD,S,262713.0
PSO_S1-STD,PSO,S1,STD,S,262331.0
PSO_S1-STD,PSO,S1,STD,S,262618.0
PSO_S1-STD,PSO,S1,STD,S,264530.0
PSO_S1-STD,PSO,S1,STD,S,261813.0
PSO_S1-STD,PSO,S1,STD,S,261240.0
PSO_S1-STD,PSO,S1,STD,S,264798.0
PSO_S2-STD,PSO,S2,STD,S,245927.0
PSO_S2-STD,PSO,S2,STD,S,244926.0
PSO_S2-STD,PSO,S2,STD,S,246119.0
PSO_S2-STD,PSO,S2,STD,S,245034.0
PSO_S2-STD,PSO,S2,STD,S,246972.0
