Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S1-STD,PSO,S1,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S2-STD,PSO,S2,STD,S,1512.0
PSO_S3-STD,PSO,S3,STD,S,1512.0
PSO_S3-STD,PSO,S3,STD,S,1512.0
PSO_S3-STD,PSO,S3,STD,S,1512.0
PSO_S3-STD,PSO,S3,STD,S,1512.0
PSO_S3-STD,PSO,S3,STD,S,1512.0
PSO_S3-STD,PSO,S3,STD,S,1512.0
PSO_S3-STD,PSO,S3,STD,S,1512.0
PSO_S3-STD,PSO,S3,STD,S,1512.0
PSO_S3-STD,PSO,S3,STD,S,1512.0
