Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,108581.0
PSO_S1-STD,PSO,S1,STD,S,108203.0
PSO_S1-STD,PSO,S1,STD,S,107828.0
PSO_S1-STD,PSO,S1,STD,S,108711.0
PSO_S1-STD,PSO,S1,STD,S,108189.0
PSO_S1-STD,PSO,S1,STD,S,109378.0
PSO_S1-STD,PSO,S1,STD,S,108592.0
PSO_S1-STD,PSO,S1,STD,S,109264.0
PSO_S1-STD,PSO,S1,STD,S,108588.0
PSO_S1-STD,PSO,S1,STD,S,109016.0
PSO_S1-STD,PSO,S1,STD,S,108829.0
PSO_S1-STD,PSO,S1,STD,S,109031.0
PSO_S1-STD,PSO,S1,STD,S,108620.0
PSO_S1-STD,PSO,S1,STD,S,108764.0
PSO_S1-STD,PSO,S1,STD,S,108329.0
PSO_S1-STD,PSO,S1,STD,S,108692.0
PSO_S1-STD,PSO,S1,STD,S,108447.0
PSO_S1-STD,PSO,S1,STD,S,107577.0
PSO_S1-STD,PSO,S1,STD,S,108399.0
PSO_S1-STD,PSO,S1,STD,S,108497.0
PSO_S1-STD,PSO,S1,STD,S,108548.0
PSO_S1-STD,PSO,S1,STD,S,108615.0
PSO_S1-STD,PSO,S1,STD,S,108032.0
PSO_S1-STD,PSO,S1,STD,S,108032.0
PSO_S1-STD,PSO,S1,STD,S,107530.0
PSO_S1-STD,PSO,S1,STD,S,108489.0
PSO_S1-STD,PSO,S1,STD,S,108304.0
PSO_S1-STD,PSO,S1,STD,S,108750.0
PSO_S1-STD,PSO,S1,STD,S,108633.0
PSO_S1-STD,PSO,S1,STD,S,109218.0
PSO_S1-STD,PSO,S1,STD,S,109261.0
PSO_S2-STD,PSO,S2,STD,S,103713.0
PSO_S2-STD,PSO,S2,STD,S,103601.0
PSO_S2-STD,PSO,S2,STD,S,103327.0
PSO_S2-STD,PSO,S2,STD,S,104612.0
PSO_S2-STD,PSO,S2,STD,S,103744.0
PSO_S2-STD,PSO,S2,STD,S,104415.0
PSO_S2-STD,PSO,S2,STD,S,104383.0
PSO_S2-STD,PSO,S2,STD,S,103959.0
PSO_S2-STD,PSO,S2,STD,S,104649.0
PSO_S2-STD,PSO,S2,STD,S,102713.0
PSO_S2-STD,PSO,S2,STD,S,102842.0
PSO_S2-STD,PSO,S2,STD,S,102757.0
PSO_S2-STD,PSO,S2,STD,S,102989.0
PSO_S2-STD,PSO,S2,STD,S,104302.0
PSO_S2-STD,PSO,S2,STD,S,103696.0
PSO_S2-STD,PSO,S2,STD,S,103065.0
PSO_S2-STD,PSO,S2,STD,S,104494.0
PSO_S2-STD,PSO,S2,STD,S,103013.0
PSO_S2-STD,PSO,S2,STD,S,105006.0
PSO_S2-STD,PSO,S2,STD,S,103543.0
PSO_S2-STD,PSO,S2,STD,S,103911.0
PSO_S2-STD,PSO,S2,STD,S,103113.0
PSO_S2-STD,PSO,S2,STD,S,104280.0
PSO_S2-STD,PSO,S2,STD,S,103703.0
PSO_S2-STD,PSO,S2,STD,S,104488.0
PSO_S2-STD,PSO,S2,STD,S,104146.0
PSO_S2-STD,PSO,S2,STD,S,103740.0
PSO_S2-STD,PSO,S2,STD,S,104443.0
PSO_S2-STD,PSO,S2,STD,S,103621.0
PSO_S2-STD,PSO,S2,STD,S,103987.0
PSO_S2-STD,PSO,S2,STD,S,103390.0
PSO_S3-STD,PSO,S3,STD,S,99002.0
PSO_S3-STD,PSO,S3,STD,S,99620.0
PSO_S3-STD,PSO,S3,STD,S,99838.0
PSO_S3-STD,PSO,S3,STD,S,99793.0
PSO_S3-STD,PSO,S3,STD,S,99817.0
PSO_S3-STD,PSO,S3,STD,S,100922.0
PSO_S3-STD,PSO,S3,STD,S,99511.0
PSO_S3-STD,PSO,S3,STD,S,100336.0
PSO_S3-STD,PSO,S3,STD,S,100675.0
PSO_S3-STD,PSO,S3,STD,S,99375.0
PSO_S3-STD,PSO,S3,STD,S,99331.0
PSO_S3-STD,PSO,S3,STD,S,101209.0
PSO_S3-STD,PSO,S3,STD,S,100109.0
PSO_S3-STD,PSO,S3,STD,S,100760.0
PSO_S3-STD,PSO,S3,STD,S,99810.0
PSO_S3-STD,PSO,S3,STD,S,98976.0
PSO_S3-STD,PSO,S3,STD,S,100368.0
PSO_S3-STD,PSO,S3,STD,S,99699.0
PSO_S3-STD,PSO,S3,STD,S,99052.0
PSO_S3-STD,PSO,S3,STD,S,99372.0
PSO_S3-STD,PSO,S3,STD,S,100396.0
PSO_S3-STD,PSO,S3,STD,S,99538.0
PSO_S3-STD,PSO,S3,STD,S,100524.0
PSO_S3-STD,PSO,S3,STD,S,99119.0
PSO_S3-STD,PSO,S3,STD,S,101760.0
PSO_S3-STD,PSO,S3,STD,S,102027.0
PSO_S3-STD,PSO,S3,STD,S,100365.0
PSO_S3-STD,PSO,S3,STD,S,100136.0
PSO_S3-STD,PSO,S3,STD,S,100017.0
PSO_S3-STD,PSO,S3,STD,S,99643.0
PSO_S3-STD,PSO,S3,STD,S,99614.0
PSO_S4-STD,PSO,S4,STD,S,98100.0
PSO_S4-STD,PSO,S4,STD,S,98007.0
PSO_S4-STD,PSO,S4,STD,S,97503.0
PSO_S4-STD,PSO,S4,STD,S,98215.0
PSO_S4-STD,PSO,S4,STD,S,97765.0
PSO_S4-STD,PSO,S4,STD,S,98252.0
PSO_S4-STD,PSO,S4,STD,S,98679.0
PSO_S4-STD,PSO,S4,STD,S,97343.0
PSO_S4-STD,PSO,S4,STD,S,99759.0
PSO_S4-STD,PSO,S4,STD,S,97931.0
PSO_S4-STD,PSO,S4,STD,S,97542.0
PSO_S4-STD,PSO,S4,STD,S,98514.0
PSO_S4-STD,PSO,S4,STD,S,97921.0
PSO_S4-STD,PSO,S4,STD,S,98994.0
PSO_S4-STD,PSO,S4,STD,S,97282.0
PSO_S4-STD,PSO,S4,STD,S,99179.0
PSO_S4-STD,PSO,S4,STD,S,97570.0
PSO_S4-STD,PSO,S4,STD,S,97438.0
