Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,28418.0
PSO_S1-STD,PSO,S1,STD,S,28606.0
PSO_S1-STD,PSO,S1,STD,S,28517.0
PSO_S1-STD,PSO,S1,STD,S,28418.0
PSO_S1-STD,PSO,S1,STD,S,28417.0
PSO_S1-STD,PSO,S1,STD,S,28408.0
PSO_S1-STD,PSO,S1,STD,S,28408.0
PSO_S1-STD,PSO,S1,STD,S,28419.0
PSO_S1-STD,PSO,S1,STD,S,28518.0
PSO_S1-STD,PSO,S1,STD,S,28517.0
PSO_S1-STD,PSO,S1,STD,S,28511.0
PSO_S1-STD,PSO,S1,STD,S,28515.0
PSO_S1-STD,PSO,S1,STD,S,28510.0
PSO_S1-STD,PSO,S1,STD,S,28314.0
PSO_S1-STD,PSO,S1,STD,S,28410.0
PSO_S1-STD,PSO,S1,STD,S,28418.0
PSO_S1-STD,PSO,S1,STD,S,28418.0
PSO_S1-STD,PSO,S1,STD,S,28512.0
PSO_S1-STD,PSO,S1,STD,S,28503.0
PSO_S1-STD,PSO,S1,STD,S,28418.0
PSO_S1-STD,PSO,S1,STD,S,28418.0
PSO_S1-STD,PSO,S1,STD,S,28507.0
PSO_S1-STD,PSO,S1,STD,S,28605.0
PSO_S1-STD,PSO,S1,STD,S,28516.0
PSO_S1-STD,PSO,S1,STD,S,28418.0
PSO_S1-STD,PSO,S1,STD,S,28613.0
PSO_S1-STD,PSO,S1,STD,S,28414.0
PSO_S1-STD,PSO,S1,STD,S,28494.0
PSO_S1-STD,PSO,S1,STD,S,28511.0
PSO_S1-STD,PSO,S1,STD,S,28510.0
PSO_S1-STD,PSO,S1,STD,S,28515.0
PSO_S2-STD,PSO,S2,STD,S,27518.0
PSO_S2-STD,PSO,S2,STD,S,27616.0
PSO_S2-STD,PSO,S2,STD,S,27419.0
PSO_S2-STD,PSO,S2,STD,S,27905.0
PSO_S2-STD,PSO,S2,STD,S,27315.0
PSO_S2-STD,PSO,S2,STD,S,27515.0
