Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,14390.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14377.0
PSO_S1-STD,PSO,S1,STD,S,14289.0
PSO_S1-STD,PSO,S1,STD,S,14287.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14390.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14288.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14289.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14288.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14390.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14289.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14290.0
PSO_S1-STD,PSO,S1,STD,S,14289.0
PSO_S2-STD,PSO,S2,STD,S,14081.0
PSO_S2-STD,PSO,S2,STD,S,14090.0
PSO_S2-STD,PSO,S2,STD,S,14088.0
PSO_S2-STD,PSO,S2,STD,S,14090.0
PSO_S2-STD,PSO,S2,STD,S,14083.0
PSO_S2-STD,PSO,S2,STD,S,14089.0
PSO_S2-STD,PSO,S2,STD,S,13990.0
PSO_S2-STD,PSO,S2,STD,S,14090.0
PSO_S2-STD,PSO,S2,STD,S,13988.0
PSO_S2-STD,PSO,S2,STD,S,14088.0
PSO_S2-STD,PSO,S2,STD,S,14089.0
PSO_S2-STD,PSO,S2,STD,S,14090.0
PSO_S2-STD,PSO,S2,STD,S,14189.0
PSO_S2-STD,PSO,S2,STD,S,14088.0
PSO_S2-STD,PSO,S2,STD,S,14085.0
PSO_S2-STD,PSO,S2,STD,S,14089.0
PSO_S2-STD,PSO,S2,STD,S,14188.0
PSO_S2-STD,PSO,S2,STD,S,14084.0
PSO_S2-STD,PSO,S2,STD,S,14083.0
PSO_S2-STD,PSO,S2,STD,S,13989.0
PSO_S2-STD,PSO,S2,STD,S,14084.0
PSO_S2-STD,PSO,S2,STD,S,14048.0
PSO_S2-STD,PSO,S2,STD,S,14078.0
PSO_S2-STD,PSO,S2,STD,S,14089.0
PSO_S2-STD,PSO,S2,STD,S,14077.0
PSO_S2-STD,PSO,S2,STD,S,14087.0
PSO_S2-STD,PSO,S2,STD,S,14090.0
PSO_S2-STD,PSO,S2,STD,S,14087.0
PSO_S2-STD,PSO,S2,STD,S,14090.0
PSO_S2-STD,PSO,S2,STD,S,14089.0
PSO_S2-STD,PSO,S2,STD,S,13990.0
PSO_S3-STD,PSO,S3,STD,S,13881.0
