Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S1-STD,PSO,S1,STD,S,7117.0
PSO_S2-STD,PSO,S2,STD,S,7017.0
PSO_S2-STD,PSO,S2,STD,S,7016.0
PSO_S2-STD,PSO,S2,STD,S,7117.0
PSO_S2-STD,PSO,S2,STD,S,7105.0
PSO_S2-STD,PSO,S2,STD,S,7017.0
