Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,9046.0
PSO_S1-STD,PSO,S1,STD,S,9046.0
PSO_S1-STD,PSO,S1,STD,S,9048.0
PSO_S1-STD,PSO,S1,STD,S,9045.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9052.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9048.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9048.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9048.0
PSO_S1-STD,PSO,S1,STD,S,9048.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9048.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9048.0
PSO_S1-STD,PSO,S1,STD,S,9047.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9051.0
PSO_S1-STD,PSO,S1,STD,S,9047.0
PSO_S1-STD,PSO,S1,STD,S,9048.0
PSO_S2-STD,PSO,S2,STD,S,9014.0
PSO_S2-STD,PSO,S2,STD,S,9026.0
PSO_S2-STD,PSO,S2,STD,S,9009.0
PSO_S2-STD,PSO,S2,STD,S,9003.0
PSO_S2-STD,PSO,S2,STD,S,8967.0
PSO_S2-STD,PSO,S2,STD,S,9001.0
PSO_S2-STD,PSO,S2,STD,S,9007.0
PSO_S2-STD,PSO,S2,STD,S,8979.0
PSO_S2-STD,PSO,S2,STD,S,9003.0
PSO_S2-STD,PSO,S2,STD,S,8995.0
PSO_S2-STD,PSO,S2,STD,S,9007.0
