Exp,MH,TF,DR,Family,Data
PSO_S1-STD,PSO,S1,STD,S,43540.0
PSO_S1-STD,PSO,S1,STD,S,43608.0
PSO_S1-STD,PSO,S1,STD,S,43806.0
PSO_S1-STD,PSO,S1,STD,S,43708.0
PSO_S1-STD,PSO,S1,STD,S,43626.0
PSO_S1-STD,PSO,S1,STD,S,43653.0
PSO_S1-STD,PSO,S1,STD,S,43682.0
PSO_S1-STD,PSO,S1,STD,S,43564.0
PSO_S1-STD,PSO,S1,STD,S,43632.0
PSO_S1-STD,PSO,S1,STD,S,43667.0
PSO_S1-STD,PSO,S1,STD,S,43648.0
PSO_S1-STD,PSO,S1,STD,S,43883.0
PSO_S1-STD,PSO,S1,STD,S,43648.0
PSO_S1-STD,PSO,S1,STD,S,43595.0
PSO_S1-STD,PSO,S1,STD,S,43682.0
PSO_S1-STD,PSO,S1,STD,S,43794.0
PSO_S1-STD,PSO,S1,STD,S,43758.0
PSO_S1-STD,PSO,S1,STD,S,43536.0
PSO_S1-STD,PSO,S1,STD,S,43720.0
PSO_S1-STD,PSO,S1,STD,S,43644.0
PSO_S1-STD,PSO,S1,STD,S,43708.0
PSO_S1-STD,PSO,S1,STD,S,43802.0
PSO_S1-STD,PSO,S1,STD,S,43710.0
PSO_S1-STD,PSO,S1,STD,S,43618.0
PSO_S1-STD,PSO,S1,STD,S,43780.0
PSO_S1-STD,PSO,S1,STD,S,43732.0
PSO_S1-STD,PSO,S1,STD,S,43595.0
PSO_S1-STD,PSO,S1,STD,S,43522.0
PSO_S1-STD,PSO,S1,STD,S,43584.0
PSO_S1-STD,PSO,S1,STD,S,43612.0
PSO_S1-STD,PSO,S1,STD,S,43553.0
PSO_S2-STD,PSO,S2,STD,S,42573.0
PSO_S2-STD,PSO,S2,STD,S,42521.0
PSO_S2-STD,PSO,S2,STD,S,42480.0
PSO_S2-STD,PSO,S2,STD,S,42409.0
PSO_S2-STD,PSO,S2,STD,S,42584.0
PSO_S2-STD,PSO,S2,STD,S,42418.0
PSO_S2-STD,PSO,S2,STD,S,42525.0
PSO_S2-STD,PSO,S2,STD,S,42410.0
PSO_S2-STD,PSO,S2,STD,S,42426.0
PSO_S2-STD,PSO,S2,STD,S,42633.0
PSO_S2-STD,PSO,S2,STD,S,42536.0
PSO_S2-STD,PSO,S2,STD,S,42469.0
PSO_S2-STD,PSO,S2,STD,S,42469.0
PSO_S2-STD,PSO,S2,STD,S,42662.0
PSO_S2-STD,PSO,S2,STD,S,42590.0
PSO_S2-STD,PSO,S2,STD,S,42685.0
PSO_S2-STD,PSO,S2,STD,S,42616.0
PSO_S2-STD,PSO,S2,STD,S,42604.0
PSO_S2-STD,PSO,S2,STD,S,42546.0
PSO_S2-STD,PSO,S2,STD,S,42600.0
PSO_S2-STD,PSO,S2,STD,S,42411.0
PSO_S2-STD,PSO,S2,STD,S,42415.0
PSO_S2-STD,PSO,S2,STD,S,42801.0
PSO_S2-STD,PSO,S2,STD,S,42732.0
PSO_S2-STD,PSO,S2,STD,S,42641.0
PSO_S2-STD,PSO,S2,STD,S,42391.0
PSO_S2-STD,PSO,S2,STD,S,42567.0
PSO_S2-STD,PSO,S2,STD,S,42538.0
PSO_S2-STD,PSO,S2,STD,S,42753.0
PSO_S2-STD,PSO,S2,STD,S,42822.0
PSO_S2-STD,PSO,S2,STD,S,42421.0
