BS,1_100,1_200,1_500,1_1000,1_2000,1_5000,1_10000,2_100,2_200,2_500,2_1000,2_2000,2_5000,2_10000,3_100,3_200,3_500,3_1000,3_2000,3_5000,3_10000,avg
Z2-STD,3.97,5.32,10.76,15.77,19.22,22.23,24.68,1.66,1.7,4.29,5.28,7.93,8.94,10.37,4.27,2.53,7.32,10.17,13.04,15.21,16.41,10.05
Z3-STD,3.98,5.08,11.51,15.97,19.34,21.64,24.45,1.51,1.51,3.99,5.65,7.92,8.88,10.45,4.07,3.17,7.12,9.9,13.28,15.09,16.68,10.06
Z4-STD,4.31,4.64,11.33,15.17,18.57,22.19,24.59,1.53,1.61,4.49,5.93,7.73,9.04,10.55,4.24,2.85,6.98,10.31,13.0,15.26,16.58,10.04
Z1-COM,3.59,4.65,10.69,16.08,18.94,22.12,24.32,1.35,1.59,3.88,5.57,7.57,9.12,10.48,4.22,2.96,7.22,9.64,13.17,14.96,16.41,9.93
Z2-COM,4.49,4.32,12.04,15.21,18.91,22.16,24.86,1.98,1.38,4.55,5.7,7.78,8.91,10.44,4.23,3.12,7.3,10.2,12.93,15.06,16.54,10.1
Z3-COM,4.4,4.96,12.02,15.49,19.32,22.47,24.61,2.08,1.5,4.17,5.64,7.82,9.03,10.69,4.24,3.0,7.0,10.25,13.01,15.01,16.69,10.16
Z4-COM,4.42,4.05,10.95,15.98,19.23,22.42,24.48,1.69,1.6,4.64,5.66,8.05,9.19,10.44,4.47,3.12,7.24,10.41,12.82,15.25,16.55,10.13
Z1-ELIT,3.82,5.01,12.55,15.58,19.26,22.24,24.48,1.6,1.53,4.3,5.65,7.75,8.93,10.39,3.94,2.75,6.85,10.13,13.1,15.15,16.44,10.07
Z2-ELIT,3.91,4.97,11.61,16.08,18.87,22.32,24.96,1.34,1.57,4.12,6.1,7.73,8.93,10.36,4.26,2.85,6.81,9.62,13.18,15.24,16.41,10.06
Z3-ELIT,5.21,5.08,10.89,15.07,19.28,22.05,24.76,1.72,1.63,4.1,5.62,7.67,8.96,10.36,4.83,2.92,7.12,9.98,13.18,15.09,16.41,10.09
Z4-ELIT,3.5,3.55,11.61,15.84,18.55,22.1,24.85,1.49,1.36,4.32,5.75,7.68,9.03,10.43,4.08,2.83,6.86,9.89,13.18,15.32,16.51,9.94
